condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag,dataset_size_class,planned_query_passes,progress_dataset_weight,progress_runtime_multiplier,planned_work_units,progress_cost_class,progress_weight_basis
cond-c7d8863eec612003c933,cond-c7d8863eec612003c933::r0,pair-c2bb5beb894d36c760806f17,pair-c2bb5beb894d36c760806f17::r0,gac_filter_control_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-950,gac_fdw_multiregion_event_filter_summary,"{""as_of_unix"": 1782864000, ""lookback_days"": 30, ""min_value"": 950}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-large-balanced-v1__pressure_gac_memory_stressed__analytics_clients/queries/gac_filter_control_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-950.sql,"fdw_union_all,selective_filter,remote_pushdown_candidate",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_filter_control_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed,event_filter_summary,multiregion_union,,,,raw-large-balanced-v1,pressure_gac_memory_stressed,eu_us_gac,negative_control,gac_finalization,gac_finalization,stressed,stressed,gac__selective_filter_control,,,,,,,,negative_control,selective_summary,increase_gac_work_mem,paired_coordinator_severity_vector,pressure_negative_control,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,1,false,large,2,8.0,1.5,24.0,extreme,dataset=large:8;runtime=pressure_gac_memory_stressed:1.5;passes=2
cond-cff4c97075431d22255c,cond-cff4c97075431d22255c::r0,pair-3234f319cb3b04165ef5b663,pair-3234f319cb3b04165ef5b663::r0,gac_point_control_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_multiregion_tenant_point_raw_finalize__as_of_unix-1782864000__eu_tenant_id-1__us_tenant_id-10001__lookback_days-1,gac_fdw_multiregion_tenant_point_raw_finalize,"{""as_of_unix"": 1782864000, ""eu_tenant_id"": 1, ""lookback_days"": 1, ""us_tenant_id"": 10001}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-large-balanced-v1__pressure_gac_memory_stressed__analytics_clients/queries/gac_point_control_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_--7a7c36c994ce1c111525.sql,"fdw_union_all,tenant_filter,raw_row_fetch,gac_global_group_by",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_point_control_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed,tenant_point_rollup,multiregion_union,,,,raw-large-balanced-v1,pressure_gac_memory_stressed,eu_us_gac,negative_control,gac_finalization,gac_finalization,stressed,stressed,gac__tenant_point_control,,,,,,,,negative_control,tenant_point,increase_gac_work_mem,paired_coordinator_severity_vector,pressure_negative_control,"well_reduced_localized,remote_fetch_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""low""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,2,false,large,2,8.0,1.5,24.0,extreme,dataset=large:8;runtime=pressure_gac_memory_stressed:1.5;passes=2
cond-c7d8863eec612003c933,cond-c7d8863eec612003c933::r2,pair-c2bb5beb894d36c760806f17,pair-c2bb5beb894d36c760806f17::r2,gac_filter_control_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-950,gac_fdw_multiregion_event_filter_summary,"{""as_of_unix"": 1782864000, ""lookback_days"": 30, ""min_value"": 950}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-large-balanced-v1__pressure_gac_memory_stressed__analytics_clients/queries/gac_filter_control_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-950.sql,"fdw_union_all,selective_filter,remote_pushdown_candidate",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_filter_control_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed,event_filter_summary,multiregion_union,,,,raw-large-balanced-v1,pressure_gac_memory_stressed,eu_us_gac,negative_control,gac_finalization,gac_finalization,stressed,stressed,gac__selective_filter_control,,,,,,,,negative_control,selective_summary,increase_gac_work_mem,paired_coordinator_severity_vector,pressure_negative_control,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,3,false,large,1,8.0,1.5,12.0,heavy,dataset=large:8;runtime=pressure_gac_memory_stressed:1.5;passes=1
cond-32f8339d7889dab2d5a1,cond-32f8339d7889dab2d5a1::r1,pair-9d7381e1e2ff2183997990d7,pair-9d7381e1e2ff2183997990d7::r1,gac_memory_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_coordinator_raw_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-2__limit_k-5000,gac_fdw_coordinator_raw_user_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 5000, ""tenant_modulus"": 2}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-large-balanced-v1__pressure_gac_memory_stressed__analytics_clients/queries/gac_memory_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_coordinator_raw_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-2__limit_k-5000.sql,"coordinator_raw_fanin,coordinator_group_merge,coordinator_sort_topk",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_memory_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed,user_value_topk,multiregion_union,,,,raw-large-balanced-v1,pressure_gac_memory_stressed,eu_us_gac,positive_case,gac_finalization,gac_finalization,stressed,stressed,gac__memory_response,gac_raw_aggregate,parameterized,,,,,,"group_merge,sort_topk,memory_spill",user_group_topk_memory,increase_gac_work_mem,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""medium"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,4,false,large,1,8.0,1.5,12.0,heavy,dataset=large:8;runtime=pressure_gac_memory_stressed:1.5;passes=1
cond-8e69621c6d4e564d0d3b,cond-8e69621c6d4e564d0d3b::r2,pair-250ccfb451be987f237643d9,pair-250ccfb451be987f237643d9::r2,gac_point_control_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_multiregion_tenant_point_raw_finalize__as_of_unix-1782864000__eu_tenant_id-1__us_tenant_id-10001__lookback_days-30,gac_fdw_multiregion_tenant_point_raw_finalize,"{""as_of_unix"": 1782864000, ""eu_tenant_id"": 1, ""lookback_days"": 30, ""us_tenant_id"": 10001}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-large-balanced-v1__pressure_gac_memory_stressed__analytics_clients/queries/gac_point_control_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_--a35a2df809f21e0cae72.sql,"fdw_union_all,tenant_filter,raw_row_fetch,gac_global_group_by",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_point_control_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed,tenant_point_rollup,multiregion_union,,,,raw-large-balanced-v1,pressure_gac_memory_stressed,eu_us_gac,negative_control,gac_finalization,gac_finalization,stressed,stressed,gac__tenant_point_control,,,,,,,,negative_control,tenant_point,increase_gac_work_mem,paired_coordinator_severity_vector,pressure_negative_control,"well_reduced_localized,remote_fetch_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""low""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,5,false,large,1,8.0,1.5,12.0,heavy,dataset=large:8;runtime=pressure_gac_memory_stressed:1.5;passes=1
cond-753420da36a87de37d68,cond-753420da36a87de37d68::r0,pair-069d3fa047f7c6184464cd16,pair-069d3fa047f7c6184464cd16::r0,gac_point_control_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_multiregion_tenant_point_raw_finalize__as_of_unix-1782864000__eu_tenant_id-1__us_tenant_id-10001__lookback_days-14,gac_fdw_multiregion_tenant_point_raw_finalize,"{""as_of_unix"": 1782864000, ""eu_tenant_id"": 1, ""lookback_days"": 14, ""us_tenant_id"": 10001}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-large-balanced-v1__pressure_gac_memory_stressed__analytics_clients/queries/gac_point_control_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_--ca42d8ddf83d327dad52.sql,"fdw_union_all,tenant_filter,raw_row_fetch,gac_global_group_by",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_point_control_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed,tenant_point_rollup,multiregion_union,,,,raw-large-balanced-v1,pressure_gac_memory_stressed,eu_us_gac,negative_control,gac_finalization,gac_finalization,stressed,stressed,gac__tenant_point_control,,,,,,,,negative_control,tenant_point,increase_gac_work_mem,paired_coordinator_severity_vector,pressure_negative_control,"well_reduced_localized,remote_fetch_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""low""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,6,false,large,2,8.0,1.5,24.0,extreme,dataset=large:8;runtime=pressure_gac_memory_stressed:1.5;passes=2
cond-33d678e8e4fb398571c7,cond-33d678e8e4fb398571c7::r1,pair-8da4e2ed84495cd5e5fb74b0,pair-8da4e2ed84495cd5e5fb74b0::r1,gac_memory_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_coordinator_raw_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-1__limit_k-5000,gac_fdw_coordinator_raw_user_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 5000, ""tenant_modulus"": 1}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-large-balanced-v1__pressure_gac_memory_stressed__analytics_clients/queries/gac_memory_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_coordinator_raw_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-1__limit_k-5000.sql,"coordinator_raw_fanin,coordinator_group_merge,coordinator_sort_topk",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_memory_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed,user_value_topk,multiregion_union,,,,raw-large-balanced-v1,pressure_gac_memory_stressed,eu_us_gac,positive_case,gac_finalization,gac_finalization,stressed,stressed,gac__memory_response,gac_raw_aggregate,parameterized,,,,,,"group_merge,sort_topk,memory_spill",user_group_topk_memory,increase_gac_work_mem,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""medium"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,7,false,large,1,8.0,1.5,12.0,heavy,dataset=large:8;runtime=pressure_gac_memory_stressed:1.5;passes=1
cond-e4b71d8c54ce11f68988,cond-e4b71d8c54ce11f68988::r0,pair-7684e29a154b14f22efa7b0e,pair-7684e29a154b14f22efa7b0e::r0,gac_memory_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_coordinator_raw_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-16__limit_k-5000,gac_fdw_coordinator_raw_user_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 5000, ""tenant_modulus"": 16}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-large-balanced-v1__pressure_gac_memory_stressed__analytics_clients/queries/gac_memory_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_coordinator_raw_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-16__limit_k-5000.sql,"coordinator_raw_fanin,coordinator_group_merge,coordinator_sort_topk",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_memory_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed,user_value_topk,multiregion_union,,,,raw-large-balanced-v1,pressure_gac_memory_stressed,eu_us_gac,positive_case,gac_finalization,gac_finalization,stressed,stressed,gac__memory_response,gac_raw_aggregate,parameterized,,,,,,"group_merge,sort_topk,memory_spill",user_group_topk_memory,increase_gac_work_mem,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""medium"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,8,false,large,2,8.0,1.5,24.0,extreme,dataset=large:8;runtime=pressure_gac_memory_stressed:1.5;passes=2
cond-554b780a9515075e3863,cond-554b780a9515075e3863::r1,pair-6ac3f09ee6e25793439d8e31,pair-6ac3f09ee6e25793439d8e31::r1,gac_memory_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_coordinator_raw_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-8__limit_k-5000,gac_fdw_coordinator_raw_user_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 5000, ""tenant_modulus"": 8}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-large-balanced-v1__pressure_gac_memory_stressed__analytics_clients/queries/gac_memory_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_coordinator_raw_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-8__limit_k-5000.sql,"coordinator_raw_fanin,coordinator_group_merge,coordinator_sort_topk",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_memory_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed,user_value_topk,multiregion_union,,,,raw-large-balanced-v1,pressure_gac_memory_stressed,eu_us_gac,positive_case,gac_finalization,gac_finalization,stressed,stressed,gac__memory_response,gac_raw_aggregate,parameterized,,,,,,"group_merge,sort_topk,memory_spill",user_group_topk_memory,increase_gac_work_mem,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""medium"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,9,false,large,1,8.0,1.5,12.0,heavy,dataset=large:8;runtime=pressure_gac_memory_stressed:1.5;passes=1
cond-ab49e43fb47f9cc84ceb,cond-ab49e43fb47f9cc84ceb::r0,pair-31f74cb13359b1cd443477b5,pair-31f74cb13359b1cd443477b5::r0,gac_filter_control_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-990,gac_fdw_multiregion_event_filter_summary,"{""as_of_unix"": 1782864000, ""lookback_days"": 30, ""min_value"": 990}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-large-balanced-v1__pressure_gac_memory_stressed__analytics_clients/queries/gac_filter_control_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-990.sql,"fdw_union_all,selective_filter,remote_pushdown_candidate",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_filter_control_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed,event_filter_summary,multiregion_union,,,,raw-large-balanced-v1,pressure_gac_memory_stressed,eu_us_gac,negative_control,gac_finalization,gac_finalization,stressed,stressed,gac__selective_filter_control,,,,,,,,negative_control,selective_summary,increase_gac_work_mem,paired_coordinator_severity_vector,pressure_negative_control,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,10,false,large,2,8.0,1.5,24.0,extreme,dataset=large:8;runtime=pressure_gac_memory_stressed:1.5;passes=2
cond-787cdf715bd485b8ffc3,cond-787cdf715bd485b8ffc3::r0,pair-779aaccbeeb4b0bd44284e8b,pair-779aaccbeeb4b0bd44284e8b::r0,gac_memory_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_coordinator_raw_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-4__limit_k-5000,gac_fdw_coordinator_raw_user_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 5000, ""tenant_modulus"": 4}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-large-balanced-v1__pressure_gac_memory_stressed__analytics_clients/queries/gac_memory_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_coordinator_raw_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-4__limit_k-5000.sql,"coordinator_raw_fanin,coordinator_group_merge,coordinator_sort_topk",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_memory_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed,user_value_topk,multiregion_union,,,,raw-large-balanced-v1,pressure_gac_memory_stressed,eu_us_gac,positive_case,gac_finalization,gac_finalization,stressed,stressed,gac__memory_response,gac_raw_aggregate,parameterized,,,,,,"group_merge,sort_topk,memory_spill",user_group_topk_memory,increase_gac_work_mem,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""medium"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,11,false,large,2,8.0,1.5,24.0,extreme,dataset=large:8;runtime=pressure_gac_memory_stressed:1.5;passes=2
cond-ab49e43fb47f9cc84ceb,cond-ab49e43fb47f9cc84ceb::r2,pair-31f74cb13359b1cd443477b5,pair-31f74cb13359b1cd443477b5::r2,gac_filter_control_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-990,gac_fdw_multiregion_event_filter_summary,"{""as_of_unix"": 1782864000, ""lookback_days"": 30, ""min_value"": 990}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-large-balanced-v1__pressure_gac_memory_stressed__analytics_clients/queries/gac_filter_control_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-990.sql,"fdw_union_all,selective_filter,remote_pushdown_candidate",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_filter_control_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed,event_filter_summary,multiregion_union,,,,raw-large-balanced-v1,pressure_gac_memory_stressed,eu_us_gac,negative_control,gac_finalization,gac_finalization,stressed,stressed,gac__selective_filter_control,,,,,,,,negative_control,selective_summary,increase_gac_work_mem,paired_coordinator_severity_vector,pressure_negative_control,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,12,false,large,1,8.0,1.5,12.0,heavy,dataset=large:8;runtime=pressure_gac_memory_stressed:1.5;passes=1
cond-ab49e43fb47f9cc84ceb,cond-ab49e43fb47f9cc84ceb::r1,pair-31f74cb13359b1cd443477b5,pair-31f74cb13359b1cd443477b5::r1,gac_filter_control_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-990,gac_fdw_multiregion_event_filter_summary,"{""as_of_unix"": 1782864000, ""lookback_days"": 30, ""min_value"": 990}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-large-balanced-v1__pressure_gac_memory_stressed__analytics_clients/queries/gac_filter_control_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-990.sql,"fdw_union_all,selective_filter,remote_pushdown_candidate",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_filter_control_stressed__dataset-raw-large-balanced-v1__runtime-pressure_gac_memory_stressed,event_filter_summary,multiregion_union,,,,raw-large-balanced-v1,pressure_gac_memory_stressed,eu_us_gac,negative_control,gac_finalization,gac_finalization,stressed,stressed,gac__selective_filter_control,,,,,,,,negative_control,selective_summary,increase_gac_work_mem,paired_coordinator_severity_vector,pressure_negative_control,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,13,false,large,1,8.0,1.5,12.0,heavy,dataset=large:8;runtime=pressure_gac_memory_stressed:1.5;passes=1
