episode_id,sql_select_count,sql_join_count,sql_selection_predicate_count,sql_equality_predicate_count,sql_non_equality_predicate_count,sql_aggregate_function_count,sql_nested_query_count,sql_cte_count,sql_table_reference_count,sql_group_by_present,sql_group_expression_count,sql_distinct_present,sql_order_by_present,sql_order_expression_count,sql_limit_present,sql_topk_present,sql_set_operation_count,sql_window_function_count,plan_main_node_count,plan_blocking_operator_count,plan_sort_operator_count,plan_aggregate_operator_count,plan_join_operator_count,plan_window_operator_count,plan_limit_operator_count
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_memory_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":100}",3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_memory_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":10000}",3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_memory_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":100}",3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":10000}",3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":100}",3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":10000}",3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":100}",3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":10000}",3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":100}",3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":10000}",3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":100}",3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0
