condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag
cond-88f197a92a3da5a73522,cond-88f197a92a3da5a73522::r0,pair-7e8a0c13d6163c975d44f78a,pair-7e8a0c13d6163c975d44f78a::r0,q15_tenant_day_count__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_day_count__cutoff_ts-2026-06-17-00-00-00-00__limit_k-250__include_apac-True,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": true, ""limit_k"": 250, ""query_shape"": ""tenant_day_count""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__n3-large-balanced-wide-global-dim-v1__runtime-bundle-multi-edge__analytics_clients/queries/q15_tenant_day_count__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_day_count__cutoff_ts-2026-06-17-00-00-00-00__limit_k-250__include_apac-True.sql,"regional_topk,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q15_tenant_day_count__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q15_tenant_day_count,n3-large-balanced-wide-global-dim-v1,dba_topk_balanced_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q15_tenant_day_count__regional_topk_candidates,regional_topk_candidates,new_query_timeline,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,0,1,false
cond-6c1cdd56d828f642573e,cond-6c1cdd56d828f642573e::r2,pair-f9dda53eece02a7f19fff41a,pair-f9dda53eece02a7f19fff41a::r2,q13_tenant_user_count__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_user_count__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 50, ""query_shape"": ""tenant_user_count""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__n3-large-balanced-wide-global-dim-v1__runtime-bundle-multi-edge__analytics_clients/queries/q13_tenant_user_count__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_user_count__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q13_tenant_user_count__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q13_tenant_user_count,n3-large-balanced-wide-global-dim-v1,dba_topk_transport_remote_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q13_tenant_user_count__mitigate_remote_path_bundle,remote_transport_bundle,new_query_timeline,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,2,2,false
cond-97049246a114d802079b,cond-97049246a114d802079b::r0,pair-160459bdad8351b4308c2e20,pair-160459bdad8351b4308c2e20::r0,q14_tenant_day_sum__baseline__gac_fdw_dba_topk_raw__query_shape-tenant_day_sum__cutoff_ts-2026-06-24-00-00-00-00__limit_k-100__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": true, ""limit_k"": 100, ""query_shape"": ""tenant_day_sum""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__n3-large-balanced-wide-global-dim-v1__runtime-bundle-multi-edge__analytics_clients/queries/q14_tenant_day_sum__baseline__gac_fdw_dba_topk_raw__query_shape-tenant_day_sum__cutoff_ts-2026-06-24-00-00-00-00__limit_k-100__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q14_tenant_day_sum__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q14_tenant_day_sum,n3-large-balanced-wide-global-dim-v1,dba_topk_memory_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q14_tenant_day_sum__shared_baseline,gac_raw_topk,new_query_timeline,,,,,,,,,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,0,3,false
cond-88f197a92a3da5a73522,cond-88f197a92a3da5a73522::r2,pair-7e8a0c13d6163c975d44f78a,pair-7e8a0c13d6163c975d44f78a::r2,q15_tenant_day_count__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_day_count__cutoff_ts-2026-06-17-00-00-00-00__limit_k-250__include_apac-True,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": true, ""limit_k"": 250, ""query_shape"": ""tenant_day_count""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__n3-large-balanced-wide-global-dim-v1__runtime-bundle-multi-edge__analytics_clients/queries/q15_tenant_day_count__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_day_count__cutoff_ts-2026-06-17-00-00-00-00__limit_k-250__include_apac-True.sql,"regional_topk,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q15_tenant_day_count__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q15_tenant_day_count,n3-large-balanced-wide-global-dim-v1,dba_topk_balanced_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q15_tenant_day_count__regional_topk_candidates,regional_topk_candidates,new_query_timeline,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,2,4,false
cond-6e199cf933d5164023bd,cond-6e199cf933d5164023bd::r2,pair-31decb05896cbb7a8e903589,pair-31decb05896cbb7a8e903589::r2,q13_tenant_user_count__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_user_count__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 50, ""query_shape"": ""tenant_user_count""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__n3-large-balanced-wide-global-dim-v1__runtime-bundle-multi-edge__analytics_clients/queries/q13_tenant_user_count__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_user_count__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q13_tenant_user_count__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q13_tenant_user_count,n3-large-balanced-wide-global-dim-v1,dba_topk_transport_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q13_tenant_user_count__increase_gac_work_mem,gac_memory_increase,new_query_timeline,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,2,5,false
cond-5ce6021325a0b8ebc6f2,cond-5ce6021325a0b8ebc6f2::r1,pair-dac13805a910a9019287143d,pair-dac13805a910a9019287143d::r1,q15_tenant_day_count__baseline__gac_fdw_dba_topk_raw__query_shape-tenant_day_count__cutoff_ts-2026-06-17-00-00-00-00__limit_k-250__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": true, ""limit_k"": 250, ""query_shape"": ""tenant_day_count""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__n3-large-balanced-wide-global-dim-v1__runtime-bundle-multi-edge__analytics_clients/queries/q15_tenant_day_count__baseline__gac_fdw_dba_topk_raw__query_shape-tenant_day_count__cutoff_ts-2026-06-17-00-00-00-00__limit_k-250__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q15_tenant_day_count__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q15_tenant_day_count,n3-large-balanced-wide-global-dim-v1,dba_topk_balanced_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q15_tenant_day_count__shared_baseline,gac_raw_topk,new_query_timeline,,,,,,,,,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,1,6,false
cond-b3219bec7c8e6ca59a03,cond-b3219bec7c8e6ca59a03::r4,pair-324e69e9873fb8c0be11cad1,pair-324e69e9873fb8c0be11cad1::r4,q15_tenant_day_count__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_day_count__cutoff_ts-2026-06-17-00-00-00-00__limit_k-250__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": true, ""limit_k"": 250, ""query_shape"": ""tenant_day_count""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__n3-large-balanced-wide-global-dim-v1__runtime-bundle-multi-edge__analytics_clients/queries/q15_tenant_day_count__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_day_count__cutoff_ts-2026-06-17-00-00-00-00__limit_k-250__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q15_tenant_day_count__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q15_tenant_day_count,n3-large-balanced-wide-global-dim-v1,dba_topk_balanced_remote_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q15_tenant_day_count__mitigate_remote_path_bundle,remote_transport_bundle,new_query_timeline,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,4,7,false
cond-e10066ce4d2f545e5608,cond-e10066ce4d2f545e5608::r3,pair-60e83c051f60b9fc76e57d11,pair-60e83c051f60b9fc76e57d11::r3,q15_tenant_day_count__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_day_count__cutoff_ts-2026-06-17-00-00-00-00__limit_k-250__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": true, ""limit_k"": 250, ""query_shape"": ""tenant_day_count""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__n3-large-balanced-wide-global-dim-v1__runtime-bundle-multi-edge__analytics_clients/queries/q15_tenant_day_count__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_day_count__cutoff_ts-2026-06-17-00-00-00-00__limit_k-250__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q15_tenant_day_count__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q15_tenant_day_count,n3-large-balanced-wide-global-dim-v1,dba_topk_balanced_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q15_tenant_day_count__increase_gac_work_mem,gac_memory_increase,new_query_timeline,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,3,8,false
cond-638272764a879cd0e8ce,cond-638272764a879cd0e8ce::r0,pair-e3f8da58c023a45f12c86871,pair-e3f8da58c023a45f12c86871::r0,q13_tenant_user_count__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_user_count__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 50, ""query_shape"": ""tenant_user_count""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__n3-large-balanced-wide-global-dim-v1__runtime-bundle-multi-edge__analytics_clients/queries/q13_tenant_user_count__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_user_count__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True.sql,"regional_topk,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q13_tenant_user_count__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q13_tenant_user_count,n3-large-balanced-wide-global-dim-v1,dba_topk_transport_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q13_tenant_user_count__regional_topk_candidates,regional_topk_candidates,new_query_timeline,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,0,9,false
cond-97049246a114d802079b,cond-97049246a114d802079b::r2,pair-160459bdad8351b4308c2e20,pair-160459bdad8351b4308c2e20::r2,q14_tenant_day_sum__baseline__gac_fdw_dba_topk_raw__query_shape-tenant_day_sum__cutoff_ts-2026-06-24-00-00-00-00__limit_k-100__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": true, ""limit_k"": 100, ""query_shape"": ""tenant_day_sum""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__n3-large-balanced-wide-global-dim-v1__runtime-bundle-multi-edge__analytics_clients/queries/q14_tenant_day_sum__baseline__gac_fdw_dba_topk_raw__query_shape-tenant_day_sum__cutoff_ts-2026-06-24-00-00-00-00__limit_k-100__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q14_tenant_day_sum__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q14_tenant_day_sum,n3-large-balanced-wide-global-dim-v1,dba_topk_memory_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q14_tenant_day_sum__shared_baseline,gac_raw_topk,new_query_timeline,,,,,,,,,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,2,10,false
cond-e10066ce4d2f545e5608,cond-e10066ce4d2f545e5608::r2,pair-60e83c051f60b9fc76e57d11,pair-60e83c051f60b9fc76e57d11::r2,q15_tenant_day_count__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_day_count__cutoff_ts-2026-06-17-00-00-00-00__limit_k-250__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": true, ""limit_k"": 250, ""query_shape"": ""tenant_day_count""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__n3-large-balanced-wide-global-dim-v1__runtime-bundle-multi-edge__analytics_clients/queries/q15_tenant_day_count__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_day_count__cutoff_ts-2026-06-17-00-00-00-00__limit_k-250__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q15_tenant_day_count__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q15_tenant_day_count,n3-large-balanced-wide-global-dim-v1,dba_topk_balanced_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q15_tenant_day_count__increase_gac_work_mem,gac_memory_increase,new_query_timeline,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,2,11,false
cond-f3b9c2b95f2dca776175,cond-f3b9c2b95f2dca776175::r3,pair-2f9a2d818efe0bec1449941d,pair-2f9a2d818efe0bec1449941d::r3,q14_tenant_day_sum__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_day_sum__cutoff_ts-2026-06-24-00-00-00-00__limit_k-100__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": true, ""limit_k"": 100, ""query_shape"": ""tenant_day_sum""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__n3-large-balanced-wide-global-dim-v1__runtime-bundle-multi-edge__analytics_clients/queries/q14_tenant_day_sum__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_day_sum__cutoff_ts-2026-06-24-00-00-00-00__limit_k-100__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q14_tenant_day_sum__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q14_tenant_day_sum,n3-large-balanced-wide-global-dim-v1,dba_topk_memory_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q14_tenant_day_sum__increase_gac_work_mem,gac_memory_increase,new_query_timeline,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,3,12,false
cond-5ce6021325a0b8ebc6f2,cond-5ce6021325a0b8ebc6f2::r3,pair-dac13805a910a9019287143d,pair-dac13805a910a9019287143d::r3,q15_tenant_day_count__baseline__gac_fdw_dba_topk_raw__query_shape-tenant_day_count__cutoff_ts-2026-06-17-00-00-00-00__limit_k-250__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": true, ""limit_k"": 250, ""query_shape"": ""tenant_day_count""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__n3-large-balanced-wide-global-dim-v1__runtime-bundle-multi-edge__analytics_clients/queries/q15_tenant_day_count__baseline__gac_fdw_dba_topk_raw__query_shape-tenant_day_count__cutoff_ts-2026-06-17-00-00-00-00__limit_k-250__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q15_tenant_day_count__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q15_tenant_day_count,n3-large-balanced-wide-global-dim-v1,dba_topk_balanced_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q15_tenant_day_count__shared_baseline,gac_raw_topk,new_query_timeline,,,,,,,,,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,3,13,false
cond-e10066ce4d2f545e5608,cond-e10066ce4d2f545e5608::r1,pair-60e83c051f60b9fc76e57d11,pair-60e83c051f60b9fc76e57d11::r1,q15_tenant_day_count__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_day_count__cutoff_ts-2026-06-17-00-00-00-00__limit_k-250__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": true, ""limit_k"": 250, ""query_shape"": ""tenant_day_count""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__n3-large-balanced-wide-global-dim-v1__runtime-bundle-multi-edge__analytics_clients/queries/q15_tenant_day_count__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_day_count__cutoff_ts-2026-06-17-00-00-00-00__limit_k-250__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q15_tenant_day_count__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q15_tenant_day_count,n3-large-balanced-wide-global-dim-v1,dba_topk_balanced_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q15_tenant_day_count__increase_gac_work_mem,gac_memory_increase,new_query_timeline,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,1,14,false
