dataset,query_run_id,nearest_cluster,rank,feature,family,weighted_value,center_value,squared_distance,distance_contribution_share
validation_holdout_195,20260706T022526Z-clean-run-eu-us-gac-validation-holdo--32f57e214b0e--eu_tenant_id-5__us_tenant_id-10800__lookback_days-7,0,19,hash_batch_excess,normalized_spill_pressure,0.0,0.0001210972805814,1.4664551364210319e-08,1.3993541917951717e-08
validation_holdout_195,20260706T022754Z-clean-run-eu-us-gac-validation-holdo--9c4d47cad8fd--u_tenant_id-20__us_tenant_id-10800__lookback_days-7,0,1,remote_region_rows_isf_normalized,skew_imbalance,0.5773502691896258,0.0116047992404111,0.3200679367680578,0.30496243089374786
validation_holdout_195,20260706T022754Z-clean-run-eu-us-gac-validation-holdo--9c4d47cad8fd--u_tenant_id-20__us_tenant_id-10800__lookback_days-7,0,2,worker_task_scan_rows_isf_normalized,skew_imbalance,0.5773502691896258,0.0117629576996488,0.3198890069184604,0.30479194558227407
validation_holdout_195,20260706T022754Z-clean-run-eu-us-gac-validation-holdo--9c4d47cad8fd--u_tenant_id-20__us_tenant_id-10800__lookback_days-7,0,3,worker_scan_rows_cv_normalized,skew_imbalance,0.5773502691896258,0.0126778636065261,0.3188549256270047,0.3038066674329898
validation_holdout_195,20260706T022754Z-clean-run-eu-us-gac-validation-holdo--9c4d47cad8fd--u_tenant_id-20__us_tenant_id-10800__lookback_days-7,0,4,foreign_scan_time_to_root_ratio,remote_fanin_fetch,0.2225677909800757,0.0784779973498858,0.02076186862839072,0.019782018751222066
validation_holdout_195,20260706T022754Z-clean-run-eu-us-gac-validation-holdo--9c4d47cad8fd--u_tenant_id-20__us_tenant_id-10800__lookback_days-7,0,5,remote_root_rows_estimate_error_log,estimate_error,0.47033775845242265,0.3284649502361073,0.0201278937111834,0.019177964081362044
validation_holdout_195,20260706T022754Z-clean-run-eu-us-gac-validation-holdo--9c4d47cad8fd--u_tenant_id-20__us_tenant_id-10800__lookback_days-7,0,6,foreign_scan_rows_estimate_error_log,estimate_error,0.438149264927713,0.306496905476921,0.017332343748960543,0.016514349222675927
validation_holdout_195,20260706T022754Z-clean-run-eu-us-gac-validation-holdo--9c4d47cad8fd--u_tenant_id-20__us_tenant_id-10800__lookback_days-7,0,7,task_count_to_shard_count_ratio,citus_topology_normalized,0.0192738269154615,0.1132573232053271,0.008832897574867181,0.008416031744594958
validation_holdout_195,20260706T022754Z-clean-run-eu-us-gac-validation-holdo--9c4d47cad8fd--u_tenant_id-20__us_tenant_id-10800__lookback_days-7,0,8,active_task_share,citus_topology_normalized,0.0192738269154615,0.1106980677042581,0.00835839180380786,0.007963920124554033
validation_holdout_195,20260706T022754Z-clean-run-eu-us-gac-validation-holdo--9c4d47cad8fd--u_tenant_id-20__us_tenant_id-10800__lookback_days-7,0,9,aggregate_rows_estimate_error_log,estimate_error,0.15353428952027387,0.2250377754480471,0.005112748499823264,0.004871453938181758
validation_holdout_195,20260706T022754Z-clean-run-eu-us-gac-validation-holdo--9c4d47cad8fd--u_tenant_id-20__us_tenant_id-10800__lookback_days-7,0,10,remote_to_final_rows_ratio,remote_fanin_fetch,0.50884825662058,0.4392964667554916,0.004837451473437409,0.004609149468598821
validation_holdout_195,20260706T022754Z-clean-run-eu-us-gac-validation-holdo--9c4d47cad8fd--u_tenant_id-20__us_tenant_id-10800__lookback_days-7,0,11,regional_input_to_wan_rows_ratio,remote_fanin_fetch,0.30593347330240334,0.2503950630260874,0.0030845150160203976,0.002938942297414542
validation_holdout_195,20260706T022754Z-clean-run-eu-us-gac-validation-holdo--9c4d47cad8fd--u_tenant_id-20__us_tenant_id-10800__lookback_days-7,0,12,root_rows_estimate_error_log,estimate_error,0.18869211842833364,0.2326583507787861,0.001933029587093973,0.0018418008620991833
validation_holdout_195,20260706T022754Z-clean-run-eu-us-gac-validation-holdo--9c4d47cad8fd--u_tenant_id-20__us_tenant_id-10800__lookback_days-7,0,13,worker_task_seq_scan_share,citus_topology_normalized,0.0,0.0152347272997074,0.0002320969158964499,0.00022114317475672532
validation_holdout_195,20260706T022754Z-clean-run-eu-us-gac-validation-holdo--9c4d47cad8fd--u_tenant_id-20__us_tenant_id-10800__lookback_days-7,0,14,global_group_merge_ratio,regional_reduction,0.8813510338096907,0.8898312849793716,7.191465990087384e-05,6.852067008561516e-05
validation_holdout_195,20260706T022754Z-clean-run-eu-us-gac-validation-holdo--9c4d47cad8fd--u_tenant_id-20__us_tenant_id-10800__lookback_days-7,0,15,spill_present,normalized_spill_pressure,0.0,0.0040137326592349,1.611004985980886e-05,1.534974111020388e-05
validation_holdout_195,20260706T022754Z-clean-run-eu-us-gac-validation-holdo--9c4d47cad8fd--u_tenant_id-20__us_tenant_id-10800__lookback_days-7,0,16,temp_blocks_per_final_row,normalized_spill_pressure,0.0,0.0034743144995302,1.2070861241645782e-05,1.1501180731830164e-05
validation_holdout_195,20260706T022754Z-clean-run-eu-us-gac-validation-holdo--9c4d47cad8fd--u_tenant_id-20__us_tenant_id-10800__lookback_days-7,0,17,spill_bytes_to_wan_bytes_ratio,normalized_spill_pressure,0.0,0.0021848784672811,4.773693916788609e-06,4.548400929836083e-06
validation_holdout_195,20260706T022754Z-clean-run-eu-us-gac-validation-holdo--9c4d47cad8fd--u_tenant_id-20__us_tenant_id-10800__lookback_days-7,0,18,citus_repartition_observed_v2,citus_topology_normalized,0.0,0.001536174380174,2.3598317263029735e-06,2.2484602082309078e-06
validation_holdout_195,20260706T022754Z-clean-run-eu-us-gac-validation-holdo--9c4d47cad8fd--u_tenant_id-20__us_tenant_id-10800__lookback_days-7,0,19,hash_batch_excess,normalized_spill_pressure,0.0,0.0001210972805814,1.4664551364210319e-08,1.3972462462669635e-08
