condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag,state_id,state_name,placement_state_id,placement_action,logical_data_contract_id,query_condition_id,pairing_key,rendered_sql_sha256,dataset_size_class,planned_query_passes,progress_dataset_weight,progress_runtime_multiplier,planned_work_units,progress_cost_class,progress_weight_basis
batch-120-skew-raw-large-skew-heavy-v1::B::hot_worker_probe_low_cpu,batch-120-skew-raw-large-skew-heavy-v1::B::hot_worker_probe_low_cpu::r0,pair-44ae5fb8f54cf33a62d80584,pair-44ae5fb8f54cf33a62d80584::r0,B-hot_worker_probe_low_cpu__gac_fdw_multiregion_hot_worker_probe__as_of_unix-1782864000__eu_hot_tenant_min-1__eu_hot_tenant_max-20__us_hot_tenant_min-10001__us_hot_tenant_max-10020__cpu_terms-32,gac_fdw_multiregion_hot_worker_probe,"{""as_of_unix"": 1782864000, ""cpu_terms"": 32, ""eu_hot_tenant_max"": 20, ""eu_hot_tenant_min"": 1, ""us_hot_tenant_max"": 10020, ""us_hot_tenant_min"": 10001}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-large-skew-heavy-v1/source-render/groups/batch-120-skew-raw-large-skew-heavy-v1-source__raw-large-skew-heavy-v1__default__analytics_clients/queries/hot_worker_probe_low_cpu__gac_fdw_multiregion_hot_worker_probe__as_of_unix-1782864000__eu_hot_tenant_min-1__eu_hot_tenant_max-20__us_hot_tenant_min-10001__us_hot_tenant_max-10020__cpu_terms-32.sql,"fdw_union_all,hot_tenant_filter,worker_cpu_amplification,worker_skew_probe",batch-120-skew-raw-large-skew-heavy-v1,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,B-hot_worker_probe_low_cpu,top_tenants,multiregion_union,,,,raw-large-skew-heavy-v1,default,eu_us_gac,final_check,shard_placement,worker_data_skew,mitigated,mitigated,skew__hot_worker_probe_low_cpu,hot_data_activation,,,,,,,,,disperse_hot_shards,execution_time_seconds,pressure_isolated,"skew_imbalance,remote_fetch_heavy",pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""low""}","supports_region_partitioning,supports_hot_tenants,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":true}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,11,false,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,raw-large-skew-heavy-v1-seed-73,hot_worker_probe_low_cpu,hot_worker_probe_low_cpu,b3978c5f1afa5c09a83e5613777680fa8afa8a4b47329da01eada7bdec926b9a,large,2,8.0,1.0,16.0,heavy,dataset=large:8;runtime=default:1;passes=2
batch-120-skew-raw-large-skew-heavy-v1::B::top_tenants_short,batch-120-skew-raw-large-skew-heavy-v1::B::top_tenants_short::r2,pair-e59228b82b6b63427e4183d0,pair-e59228b82b6b63427e4183d0::r2,B-top_tenants_short__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-7__limit_k-50,gac_fdw_multiregion_top_tenants,"{""as_of_unix"": 1782864000, ""limit_k"": 50, ""lookback_days"": 7}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-large-skew-heavy-v1/source-render/groups/batch-120-skew-raw-large-skew-heavy-v1-source__raw-large-skew-heavy-v1__default__analytics_clients/queries/top_tenants_short__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-7__limit_k-50.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",batch-120-skew-raw-large-skew-heavy-v1,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,B-top_tenants_short,top_tenants,multiregion_union,,,,raw-large-skew-heavy-v1,default,eu_us_gac,final_check,shard_placement,worker_data_skew,mitigated,mitigated,skew__top_tenants_short,hot_data_activation,,,,,,,,,disperse_hot_shards,execution_time_seconds,pressure_isolated,"remote_fetch_heavy,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,2,12,false,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,raw-large-skew-heavy-v1-seed-73,top_tenants_short,top_tenants_short,0a5f7da88c155b0b3dcb692003a1d0648d6ab6953178ee43bd8e476ad4896c61,large,1,8.0,1.0,8.0,heavy,dataset=large:8;runtime=default:1;passes=1
batch-120-skew-raw-large-skew-heavy-v1::B::tenant_point_cold_control,batch-120-skew-raw-large-skew-heavy-v1::B::tenant_point_cold_control::r2,pair-998afe7317a6b05c3be9b907,pair-998afe7317a6b05c3be9b907::r2,B-tenant_point_cold_control__gac_fdw_multiregion_tenant_point_rollup__as_of_unix-1782864000__eu_tenant_id-100__us_tenant_id-10100__lookback_days-30,gac_fdw_multiregion_tenant_point_rollup,"{""as_of_unix"": 1782864000, ""eu_tenant_id"": 100, ""lookback_days"": 30, ""us_tenant_id"": 10100}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-large-skew-heavy-v1/source-render/groups/batch-120-skew-raw-large-skew-heavy-v1-source__raw-large-skew-heavy-v1__default__analytics_clients/queries/tenant_point_cold_control__gac_fdw_multiregion_tenant_point_rollup__as_of_unix-1782864000__eu_tenant_id-100__us_tenant_id-10100__lookback_days-30.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",batch-120-skew-raw-large-skew-heavy-v1,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,B-tenant_point_cold_control,tenant_point_rollup,multiregion_union,,,,raw-large-skew-heavy-v1,default,eu_us_gac,final_check,shard_placement,worker_data_skew,mitigated,mitigated,skew__tenant_point_cold_control,cold_or_selective_control,,,,,,,,,disperse_hot_shards,execution_time_seconds,pressure_isolated,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,2,13,false,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,raw-large-skew-heavy-v1-seed-73,tenant_point_cold_control,tenant_point_cold_control,e4ed9473684c97591aabd5be3e4809b5e1969bfa1b6297be13af1f4a96045484,large,1,8.0,1.0,8.0,heavy,dataset=large:8;runtime=default:1;passes=1
batch-120-skew-raw-large-skew-heavy-v1::B::tenant_point_cold_control,batch-120-skew-raw-large-skew-heavy-v1::B::tenant_point_cold_control::r0,pair-998afe7317a6b05c3be9b907,pair-998afe7317a6b05c3be9b907::r0,B-tenant_point_cold_control__gac_fdw_multiregion_tenant_point_rollup__as_of_unix-1782864000__eu_tenant_id-100__us_tenant_id-10100__lookback_days-30,gac_fdw_multiregion_tenant_point_rollup,"{""as_of_unix"": 1782864000, ""eu_tenant_id"": 100, ""lookback_days"": 30, ""us_tenant_id"": 10100}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-large-skew-heavy-v1/source-render/groups/batch-120-skew-raw-large-skew-heavy-v1-source__raw-large-skew-heavy-v1__default__analytics_clients/queries/tenant_point_cold_control__gac_fdw_multiregion_tenant_point_rollup__as_of_unix-1782864000__eu_tenant_id-100__us_tenant_id-10100__lookback_days-30.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",batch-120-skew-raw-large-skew-heavy-v1,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,B-tenant_point_cold_control,tenant_point_rollup,multiregion_union,,,,raw-large-skew-heavy-v1,default,eu_us_gac,final_check,shard_placement,worker_data_skew,mitigated,mitigated,skew__tenant_point_cold_control,cold_or_selective_control,,,,,,,,,disperse_hot_shards,execution_time_seconds,pressure_isolated,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,14,false,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,raw-large-skew-heavy-v1-seed-73,tenant_point_cold_control,tenant_point_cold_control,e4ed9473684c97591aabd5be3e4809b5e1969bfa1b6297be13af1f4a96045484,large,2,8.0,1.0,16.0,heavy,dataset=large:8;runtime=default:1;passes=2
batch-120-skew-raw-large-skew-heavy-v1::B::top_tenants_full,batch-120-skew-raw-large-skew-heavy-v1::B::top_tenants_full::r2,pair-edbfe14de1fec0ba9a6bfcf1,pair-edbfe14de1fec0ba9a6bfcf1::r2,B-top_tenants_full__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-30__limit_k-100,gac_fdw_multiregion_top_tenants,"{""as_of_unix"": 1782864000, ""limit_k"": 100, ""lookback_days"": 30}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-large-skew-heavy-v1/source-render/groups/batch-120-skew-raw-large-skew-heavy-v1-source__raw-large-skew-heavy-v1__default__analytics_clients/queries/top_tenants_full__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-30__limit_k-100.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",batch-120-skew-raw-large-skew-heavy-v1,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,B-top_tenants_full,top_tenants,multiregion_union,,,,raw-large-skew-heavy-v1,default,eu_us_gac,final_check,shard_placement,worker_data_skew,mitigated,mitigated,skew__top_tenants_full,hot_data_activation,,,,,,,,,disperse_hot_shards,execution_time_seconds,pressure_isolated,"remote_fetch_heavy,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,2,15,false,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,raw-large-skew-heavy-v1-seed-73,top_tenants_full,top_tenants_full,39f0c73932aca08c60df15385a496689d787409796026ac9a0960cf5b7fc520b,large,1,8.0,1.0,8.0,heavy,dataset=large:8;runtime=default:1;passes=1
batch-120-skew-raw-large-skew-heavy-v1::B::selective_filter_control,batch-120-skew-raw-large-skew-heavy-v1::B::selective_filter_control::r1,pair-0c403116ce3a2916227524fe,pair-0c403116ce3a2916227524fe::r1,B-selective_filter_control__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-1__min_value-950,gac_fdw_multiregion_event_filter_summary,"{""as_of_unix"": 1782864000, ""lookback_days"": 1, ""min_value"": 950}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-large-skew-heavy-v1/source-render/groups/batch-120-skew-raw-large-skew-heavy-v1-source__raw-large-skew-heavy-v1__default__analytics_clients/queries/selective_filter_control__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-1__min_value-950.sql,"fdw_union_all,selective_filter,remote_pushdown_candidate",batch-120-skew-raw-large-skew-heavy-v1,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,B-selective_filter_control,event_filter_summary,multiregion_union,,,,raw-large-skew-heavy-v1,default,eu_us_gac,final_check,shard_placement,worker_data_skew,mitigated,mitigated,skew__selective_filter_control,cold_or_selective_control,,,,,,,,,disperse_hot_shards,execution_time_seconds,pressure_isolated,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,1,16,false,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,raw-large-skew-heavy-v1-seed-73,selective_filter_control,selective_filter_control,6ff006f35e7d76b927ed53022aa3aaedd7ab3a085f6db45993763f16c15bdaef,large,1,8.0,1.0,8.0,heavy,dataset=large:8;runtime=default:1;passes=1
batch-120-skew-raw-large-skew-heavy-v1::B::broad_filter_hot,batch-120-skew-raw-large-skew-heavy-v1::B::broad_filter_hot::r1,pair-44844a0b83765c16248c2801,pair-44844a0b83765c16248c2801::r1,B-broad_filter_hot__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-0,gac_fdw_multiregion_event_filter_summary,"{""as_of_unix"": 1782864000, ""lookback_days"": 30, ""min_value"": 0}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-large-skew-heavy-v1/source-render/groups/batch-120-skew-raw-large-skew-heavy-v1-source__raw-large-skew-heavy-v1__default__analytics_clients/queries/broad_filter_hot__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-0.sql,"fdw_union_all,selective_filter,remote_pushdown_candidate",batch-120-skew-raw-large-skew-heavy-v1,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,B-broad_filter_hot,event_filter_summary,multiregion_union,,,,raw-large-skew-heavy-v1,default,eu_us_gac,final_check,shard_placement,worker_data_skew,mitigated,mitigated,skew__broad_filter_hot,hot_data_activation,,,,,,,,,disperse_hot_shards,execution_time_seconds,pressure_isolated,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,1,17,false,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,raw-large-skew-heavy-v1-seed-73,broad_filter_hot,broad_filter_hot,c7272b3a77a9005c6b05e1cfecc9d4d27109b261eb54fc7510d538bf3426c317,large,1,8.0,1.0,8.0,heavy,dataset=large:8;runtime=default:1;passes=1
batch-120-skew-raw-large-skew-heavy-v1::B::top_tenants_medium,batch-120-skew-raw-large-skew-heavy-v1::B::top_tenants_medium::r1,pair-a99e78fc743b1e61d7790651,pair-a99e78fc743b1e61d7790651::r1,B-top_tenants_medium__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-14__limit_k-75,gac_fdw_multiregion_top_tenants,"{""as_of_unix"": 1782864000, ""limit_k"": 75, ""lookback_days"": 14}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-large-skew-heavy-v1/source-render/groups/batch-120-skew-raw-large-skew-heavy-v1-source__raw-large-skew-heavy-v1__default__analytics_clients/queries/top_tenants_medium__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-14__limit_k-75.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",batch-120-skew-raw-large-skew-heavy-v1,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,B-top_tenants_medium,top_tenants,multiregion_union,,,,raw-large-skew-heavy-v1,default,eu_us_gac,final_check,shard_placement,worker_data_skew,mitigated,mitigated,skew__top_tenants_medium,hot_data_activation,,,,,,,,,disperse_hot_shards,execution_time_seconds,pressure_isolated,"remote_fetch_heavy,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,1,18,false,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,raw-large-skew-heavy-v1-seed-73,top_tenants_medium,top_tenants_medium,e853b5d079e589e8bdfaeffb616870f7f72f26a268dc84f39432c1b3d504f647,large,1,8.0,1.0,8.0,heavy,dataset=large:8;runtime=default:1;passes=1
batch-120-skew-raw-large-skew-heavy-v1::B::top_tenants_medium,batch-120-skew-raw-large-skew-heavy-v1::B::top_tenants_medium::r2,pair-a99e78fc743b1e61d7790651,pair-a99e78fc743b1e61d7790651::r2,B-top_tenants_medium__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-14__limit_k-75,gac_fdw_multiregion_top_tenants,"{""as_of_unix"": 1782864000, ""limit_k"": 75, ""lookback_days"": 14}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-large-skew-heavy-v1/source-render/groups/batch-120-skew-raw-large-skew-heavy-v1-source__raw-large-skew-heavy-v1__default__analytics_clients/queries/top_tenants_medium__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-14__limit_k-75.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",batch-120-skew-raw-large-skew-heavy-v1,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,B-top_tenants_medium,top_tenants,multiregion_union,,,,raw-large-skew-heavy-v1,default,eu_us_gac,final_check,shard_placement,worker_data_skew,mitigated,mitigated,skew__top_tenants_medium,hot_data_activation,,,,,,,,,disperse_hot_shards,execution_time_seconds,pressure_isolated,"remote_fetch_heavy,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,2,19,false,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,raw-large-skew-heavy-v1-seed-73,top_tenants_medium,top_tenants_medium,e853b5d079e589e8bdfaeffb616870f7f72f26a268dc84f39432c1b3d504f647,large,1,8.0,1.0,8.0,heavy,dataset=large:8;runtime=default:1;passes=1
batch-120-skew-raw-large-skew-heavy-v1::B::broad_filter_hot,batch-120-skew-raw-large-skew-heavy-v1::B::broad_filter_hot::r2,pair-44844a0b83765c16248c2801,pair-44844a0b83765c16248c2801::r2,B-broad_filter_hot__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-0,gac_fdw_multiregion_event_filter_summary,"{""as_of_unix"": 1782864000, ""lookback_days"": 30, ""min_value"": 0}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-large-skew-heavy-v1/source-render/groups/batch-120-skew-raw-large-skew-heavy-v1-source__raw-large-skew-heavy-v1__default__analytics_clients/queries/broad_filter_hot__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-0.sql,"fdw_union_all,selective_filter,remote_pushdown_candidate",batch-120-skew-raw-large-skew-heavy-v1,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,B-broad_filter_hot,event_filter_summary,multiregion_union,,,,raw-large-skew-heavy-v1,default,eu_us_gac,final_check,shard_placement,worker_data_skew,mitigated,mitigated,skew__broad_filter_hot,hot_data_activation,,,,,,,,,disperse_hot_shards,execution_time_seconds,pressure_isolated,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,2,20,false,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,raw-large-skew-heavy-v1-seed-73,broad_filter_hot,broad_filter_hot,c7272b3a77a9005c6b05e1cfecc9d4d27109b261eb54fc7510d538bf3426c317,large,1,8.0,1.0,8.0,heavy,dataset=large:8;runtime=default:1;passes=1
batch-120-skew-raw-large-skew-heavy-v1::B::hot_worker_probe_low_cpu,batch-120-skew-raw-large-skew-heavy-v1::B::hot_worker_probe_low_cpu::r1,pair-44ae5fb8f54cf33a62d80584,pair-44ae5fb8f54cf33a62d80584::r1,B-hot_worker_probe_low_cpu__gac_fdw_multiregion_hot_worker_probe__as_of_unix-1782864000__eu_hot_tenant_min-1__eu_hot_tenant_max-20__us_hot_tenant_min-10001__us_hot_tenant_max-10020__cpu_terms-32,gac_fdw_multiregion_hot_worker_probe,"{""as_of_unix"": 1782864000, ""cpu_terms"": 32, ""eu_hot_tenant_max"": 20, ""eu_hot_tenant_min"": 1, ""us_hot_tenant_max"": 10020, ""us_hot_tenant_min"": 10001}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-large-skew-heavy-v1/source-render/groups/batch-120-skew-raw-large-skew-heavy-v1-source__raw-large-skew-heavy-v1__default__analytics_clients/queries/hot_worker_probe_low_cpu__gac_fdw_multiregion_hot_worker_probe__as_of_unix-1782864000__eu_hot_tenant_min-1__eu_hot_tenant_max-20__us_hot_tenant_min-10001__us_hot_tenant_max-10020__cpu_terms-32.sql,"fdw_union_all,hot_tenant_filter,worker_cpu_amplification,worker_skew_probe",batch-120-skew-raw-large-skew-heavy-v1,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,B-hot_worker_probe_low_cpu,top_tenants,multiregion_union,,,,raw-large-skew-heavy-v1,default,eu_us_gac,final_check,shard_placement,worker_data_skew,mitigated,mitigated,skew__hot_worker_probe_low_cpu,hot_data_activation,,,,,,,,,disperse_hot_shards,execution_time_seconds,pressure_isolated,"skew_imbalance,remote_fetch_heavy",pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""low""}","supports_region_partitioning,supports_hot_tenants,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":true}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,1,21,false,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,raw-large-skew-heavy-v1-seed-73,hot_worker_probe_low_cpu,hot_worker_probe_low_cpu,b3978c5f1afa5c09a83e5613777680fa8afa8a4b47329da01eada7bdec926b9a,large,1,8.0,1.0,8.0,heavy,dataset=large:8;runtime=default:1;passes=1
batch-120-skew-raw-large-skew-heavy-v1::B::top_tenants_full,batch-120-skew-raw-large-skew-heavy-v1::B::top_tenants_full::r0,pair-edbfe14de1fec0ba9a6bfcf1,pair-edbfe14de1fec0ba9a6bfcf1::r0,B-top_tenants_full__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-30__limit_k-100,gac_fdw_multiregion_top_tenants,"{""as_of_unix"": 1782864000, ""limit_k"": 100, ""lookback_days"": 30}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-large-skew-heavy-v1/source-render/groups/batch-120-skew-raw-large-skew-heavy-v1-source__raw-large-skew-heavy-v1__default__analytics_clients/queries/top_tenants_full__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-30__limit_k-100.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",batch-120-skew-raw-large-skew-heavy-v1,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,B-top_tenants_full,top_tenants,multiregion_union,,,,raw-large-skew-heavy-v1,default,eu_us_gac,final_check,shard_placement,worker_data_skew,mitigated,mitigated,skew__top_tenants_full,hot_data_activation,,,,,,,,,disperse_hot_shards,execution_time_seconds,pressure_isolated,"remote_fetch_heavy,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,22,false,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,raw-large-skew-heavy-v1-seed-73,top_tenants_full,top_tenants_full,39f0c73932aca08c60df15385a496689d787409796026ac9a0960cf5b7fc520b,large,2,8.0,1.0,16.0,heavy,dataset=large:8;runtime=default:1;passes=2
