query_run_id,main_root_actual_total_time_ms,main_root_actual_rows,main_root_plan_rows,main_total_cost,has_foreign_scan,has_custom_scan,has_join,has_sort,has_hash,has_aggregate,has_limit,has_materialize,join_node_count,hash_join_count,merge_join_count,nested_loop_count,remote_path_share,fdw_remote_sql_count,fdw_remote_plan_count,remote_region_actual_rows_sum,remote_region_actual_rows_cv,remote_region_actual_rows_max_share,remote_region_actual_rows_min_max_ratio,remote_region_actual_rows_active_share,remote_region_zero_row_count,remote_region_nonzero_count,remote_region_tuple_bytes_sum,remote_region_tuple_bytes_cv,remote_region_tuple_bytes_max_share,remote_region_tuple_bytes_min_max_ratio,remote_region_tuple_bytes_active_share,remote_region_task_count_sum,remote_region_task_count_cv,remote_region_task_count_max_share,remote_region_task_count_min_max_ratio,remote_region_task_count_active_share,remote_region_plan_fingerprint_count,remote_region_dominant_plan_fingerprint_share,remote_plan_node_count_sum,remote_plan_max_depth,remote_has_custom_scan,remote_has_sort,remote_has_hash_join,remote_actual_rows_sum,global_fanin_ratio,remote_to_final_rows_ratio,finalize_share,drf_bytes_proxy,wan_output_rows,wan_output_bytes_proxy,regional_reduction_input_rows_proxy,regional_reduction_input_bytes_proxy,drf_rows_proxy,wan_output_to_final_rows_ratio,global_group_count_proxy,global_group_density,global_group_merge_ratio,task_count_to_shard_count_ratio,task_count_to_configured_region_shard_slots_ratio,task_count_to_observed_region_shard_slots_ratio,active_task_share,tasks_per_worker_ratio,temp_bytes_to_wan_bytes_ratio,temp_blocks_per_wan_row,temp_blocks_per_final_row,temp_blocks_per_regional_input_row,spill_per_wan_mb,root_rows_estimate_error_log,rows_estimate_error_max_abs_log,rows_estimate_error_mean_abs_log,foreign_scan_rows_estimate_error_log,aggregate_rows_estimate_error_log,join_rows_estimate_error_log,sort_rows_estimate_error_log,remote_root_rows_estimate_error_log,temp_blocks_sum,spill_flag,external_sort_count,sort_space_used_max,hash_batches_max,memory_pressure_score_v1,task_count,citus_map_merge_job_count,citus_repartition_query,worker_task_plan_count,worker_task_actual_rows_sum,worker_task_actual_rows_cv,worker_task_actual_rows_max_share,worker_task_scan_actual_rows_sum,worker_task_scan_actual_rows_cv,worker_task_scan_actual_rows_max_share,remote_region_rows_isf,remote_region_bytes_isf,worker_task_scan_rows_isf,worker_task_root_rows_isf,worker_task_within_region_scan_rows_isf_max,worker_task_index_scan_share,worker_task_seq_scan_share,worker_task_bitmap_scan_share,worker_task_node_count_sum,worker_task_plan_max_depth_max,worker_task_plan_max_depth_mean,worker_task_join_node_count,worker_task_aggregate_node_count,worker_task_sort_node_count,worker_task_blocking_node_count,worker_task_scan_node_count,worker_task_materialization_node_count,worker_task_parallel_node_count,worker_task_bitmap_node_count,worker_task_index_access_node_count,worker_task_sequential_access_node_count,worker_task_spill_capable_node_count,worker_task_plan_fingerprint_count,worker_task_plan_fingerprint_dominant_share,worker_task_region_task_count_cv,worker_task_region_rows_cv,worker_task_region_rows_max_share,worker_task_region_scan_rows_cv,worker_task_region_scan_rows_max_share,worker_task_within_region_rows_cv_max,worker_task_within_region_rows_cv_mean,worker_task_within_region_rows_max_share_max,worker_task_within_region_scan_rows_cv_max,worker_task_within_region_scan_rows_cv_mean,worker_task_within_region_scan_rows_max_share_max,worker_task_within_region_plan_fingerprint_count_max,worker_task_within_region_plan_fingerprint_count_mean,main_node_type_count_Aggregate,main_node_type_count_Limit,main_node_type_count_SeqScan,main_node_type_count_Sort,main_node_type_count_ForeignScan,main_node_type_count_Hash,main_node_type_count_HashJoin,main_node_type_count_IncrementalSort,main_node_type_count_MergeAppend,main_node_type_count_SubqueryScan,main_node_type_count_Append,main_node_type_count_MergeJoin,main_node_type_count_CustomScan,worker_node_count_seq_scan,worker_node_count_index_scan,worker_node_count_index_only_scan,worker_node_count_bitmap_heap_scan,worker_node_count_bitmap_index_scan,worker_node_count_hash_join,worker_node_count_merge_join,worker_node_count_nested_loop,worker_node_count_sort,worker_node_count_incremental_sort,worker_node_count_hash_aggregate,worker_node_count_group_aggregate,worker_node_count_aggregate,worker_node_count_materialize,worker_node_count_memoize,worker_node_count_other
20260724T223007Z-repeatability-v1__pilot-balanced-v1_--24ccfd75cda8--_etl_global_user_topk__lookback_days-14__limit_k-50,0.061,9.0,4.0,1.73,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,9.0,,,,,,,,,,0.0,,,0.6931471805599453,0.6931471805599453,0.5198603854199589,,0.6931471805599453,,0.6931471805599453,,0.0,0.0,0.0,25.0,1.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
20260724T223022Z-repeatability-v1__pilot-balanced-v1_--58cfb4b3bbf2--tenant_tier_left_join__lookback_days-1__limit_k-100,2435.509,6.0,100.0,1846.33,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.9887481425853898,4.0,4.0,402000.0,0.0,0.5,1.0,1.0,0.0,2.0,9631744.0,0.0,0.5,1.0,1.0,66.0,0.0,0.5,1.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,402000.0,2468.1666666666665,67000.0,0.011251857414610251,1.0,402000.0,9631744.0,402000.0,9631744.0,1.0,67000.0,6.0,1.4925373134328359e-05,67000.0,2.0625,1.03125,1.03125,1.03125,16.5,3.157133744418456,0.009233830845771144,618.6666666666666,0.009233830845771144,404.1131192855624,-2.6692103677859462,4.472956605985646,2.6549646652259047,2.426199048961222,-4.399726211773283,2.426199048961222,-4.472956605985646,6.90875477931522,3712.0,1.0,0.0,538.0,1.0,8.21959545417708,66.0,,0,66.0,402000.0,0.222790047049304,0.023383084577114428,402000.0,0.222790047049304,0.023383084577114428,1.0,1.0,1.5432835820895523,1.5432835820895523,1.5432835820895523,0.0,1.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,66.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.24157597461482216,0.22192138759801852,0.046766169154228855,0.24157597461482216,0.22192138759801852,0.046766169154228855,1.0,1.0,3.0,1.0,0.0,3.0,4.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260724T223038Z-repeatability-v1__pilot-balanced-v1_--b236a78a235a--_rollup__lookback_days-7__min_value-900__limit_k-10,405.183,10.0,10.0,550.41,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9789996125207622,2.0,2.0,39935.0,0.013096281457368223,0.5065481407286841,0.9741460279796332,1.0,0.0,2.0,958464.0,0.01282051282051282,0.5064102564102564,0.9746835443037974,1.0,64.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,39935.0,899.4,3993.5,0.02100038747923781,0.9999999999999999,39935.0,958464.0,39935.0,958463.9999999999,1.0,3993.5,10.0,0.00025040691123075,3993.5,2.0,1.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2718239991862963,2.565523931631859,3.1743383851383693,3.2718239991862963,,-2.905409635260705,-1.6242062833596462,0.0,0.0,0.0,556.0,1.0,0.0,64.0,,0,64.0,39935.0,0.15703055337625466,0.02218605233504445,39935.0,0.15703055337625466,0.02218605233504445,1.0130962814573683,1.0128205128205128,1.4199073494428447,1.4199073494428447,1.4387496194052574,0.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,64.0,0.0,1.0,1.0,0.0,0.013096281457368223,0.5065481407286841,0.013096281457368223,0.5065481407286841,0.1843564825934431,0.15435451246333767,0.04496092560641429,0.1843564825934431,0.15435451246333767,0.04496092560641429,1.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260724T223052Z-repeatability-v1__pilot-balanced-v1_--06be579fe53c--nt_rollup__lookback_days-3__min_value-0__limit_k-50,2453.735,50.0,50.0,553.76,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9906835905262793,2.0,2.0,400000.0,0.0,0.5,1.0,1.0,0.0,2.0,9601024.0,0.0,0.5,1.0,1.0,64.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,400000.0,768.18,8000.0,0.009316409473720727,1.0,400000.0,9601024.0,400000.0,9601024.0,1.0,8000.0,50.0,0.000125,8000.0,2.0,1.0,1.0,1.0,16.0,3.167235494880546,0.00928,74.24,0.00928,405.4061433447099,0.0,4.622557415239694,2.8384522184995062,4.622557415239694,3.2631917086427116,,2.057636911712983,0.693142180597445,3712.0,1.0,0.0,555.0,1.0,8.21959545417708,64.0,,0,64.0,400000.0,0.16502121075789014,0.0235,400000.0,0.16502121075789014,0.0235,1.0,1.0,1.504,1.504,1.504,0.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,64.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.18914544668059022,0.16292475330283535,0.047,0.18914544668059022,0.16292475330283535,0.047,1.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260724T223108Z-repeatability-v1__pilot-balanced-v1_--31c4f9cf00d4--c_fdw_daily_rollup__lookback_days-14__min_value-900,177.919,15.0,140.0,304.89,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9913668579522142,1.0,1.0,20229.0,0.0,1.0,1.0,1.0,0.0,1.0,323584.0,0.0,1.0,1.0,1.0,32.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,20229.0,604.8666666666667,1348.6,0.008633142047785798,1.0,20229.0,323584.0,20229.0,323584.0,1.0,1348.6,15.0,0.0007415097137772505,1348.6,1.0,1.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,-2.176171168138387,3.6794464566696696,2.6772629309821476,3.6794464566696696,-2.176171168138387,,-2.176171168138387,-1.5980135347584377,0.0,0.0,0.0,25.0,1.0,0.0,32.0,,0,32.0,20229.0,0.12435254233323227,0.03925058084927579,20229.0,0.12435254233323227,0.03925058084927579,1.0,1.0,1.2560185871768252,1.2560185871768252,1.2560185871768252,0.0,1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.12435254233323227,0.12435254233323227,0.03925058084927579,0.12435254233323227,0.12435254233323227,0.03925058084927579,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260724T223122Z-repeatability-v1__pilot-balanced-v1_--31c4f9cf00d4--c_fdw_daily_rollup__lookback_days-14__min_value-900,206.649,15.0,140.0,304.89,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9898959104568616,1.0,1.0,20229.0,0.0,1.0,1.0,1.0,0.0,1.0,323584.0,0.0,1.0,1.0,1.0,32.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,20229.0,604.8,1348.6,0.010104089543138335,1.0,20229.0,323584.0,20229.0,323584.0,1.0,1348.6,15.0,0.0007415097137772505,1348.6,1.0,1.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,-2.176171168138387,3.6793362456153895,2.6772261939640543,3.6793362456153895,-2.176171168138387,,-2.176171168138387,-1.5980135347584377,0.0,0.0,0.0,25.0,1.0,0.0,32.0,,0,32.0,20229.0,0.12435254233323227,0.03925058084927579,20229.0,0.12435254233323227,0.03925058084927579,1.0,1.0,1.2560185871768252,1.2560185871768252,1.2560185871768252,0.0,1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.12435254233323227,0.12435254233323227,0.03925058084927579,0.12435254233323227,0.12435254233323227,0.03925058084927579,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260724T223137Z-repeatability-v1__pilot-balanced-v1_--29477138269d--_event_filter_summary__lookback_days-3__min_value-0,1009.747,1.0,1.0,343.68,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9970101421445173,1.0,1.0,200000.0,0.0,1.0,1.0,1.0,0.0,1.0,3200000.0,0.0,1.0,1.0,1.0,32.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,200000.0,18970.0,200000.0,0.0029898578554826164,1.0,200000.0,3200000.0,200000.0,3200000.0,1.0,200000.0,1.0,5e-06,200000.0,1.0,1.0,1.0,1.0,16.0,3.75296,0.00733,1466.0,0.00733,480.37888,0.0,4.1981775960838945,2.0990887980419473,4.1981775960838945,0.0,,,0.693142180597445,1466.0,1.0,0.0,,1.0,7.2909747781429814,32.0,,0,32.0,200000.0,0.1367040599250805,0.039,200000.0,0.1367040599250805,0.039,1.0,1.0,1.248,1.248,1.248,0.0,1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.1367040599250805,0.1367040599250805,0.039,0.1367040599250805,0.1367040599250805,0.039,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260724T223152Z-repeatability-v1__pilot-balanced-v1_--c1319a544c62--tenant_tier_left_join__lookback_days-14__limit_k-50,1499.527,45.0,50.0,868.99,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.8833212072873645,2.0,2.0,201000.0,0.0,1.0,1.0,1.0,0.0,1.0,4815872.0,0.0,1.0,1.0,1.0,33.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,201000.0,2018.2222222222222,4466.666666666667,0.11667879271263551,1.0,201000.0,4815872.0,201000.0,4815872.0,1.0,4466.666666666667,45.0,0.00022388059701492538,4466.666666666667,1.03125,1.03125,1.03125,1.03125,16.5,10.471613863491388,0.03062686567164179,136.8,0.03062686567164179,1340.3665745268977,-0.10318423623523075,5.0599377191290245,2.539623415287663,5.0599377191290245,-2.5169949643395007,5.0599377191290245,5.0599377191290245,6.90875477931522,6156.0,1.0,1.0,4296.0,1.0,9.72534492491121,33.0,,0,33.0,201000.0,0.20226680058121488,0.03880597014925373,201000.0,0.20226680058121488,0.03880597014925373,1.0,1.0,1.2805970149253731,1.2805970149253731,1.2805970149253731,0.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,33.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.20226680058121488,0.20226680058121488,0.03880597014925373,0.20226680058121488,0.20226680058121488,0.03880597014925373,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260724T223207Z-repeatability-v1__pilot-balanced-v1_--2eb038d165f6--_rollup__lookback_days-7__min_value-500__limit_k-50,1415.82,50.0,50.0,553.76,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9815696910624233,2.0,2.0,199954.0,0.0034507936825469857,0.5017253968412735,0.9931221466876657,1.0,0.0,2.0,4798464.0,0.0034144259496372174,0.5017072129748186,0.9931943853679286,1.0,64.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,199954.0,899.96,3999.08,0.018430308937576686,1.0,199954.0,4798464.0,199954.0,4798464.0,1.0,3999.08,50.0,0.00025005751322804246,3999.08,2.0,1.0,1.0,1.0,16.0,3.1720017072129747,0.009292137191554058,37.16,0.009292137191554058,406.01621852326076,0.0,4.769796840316446,3.1907544246442026,4.769796840316446,3.9876811147838582,,2.007292434011447,-0.0036867509224410597,1858.0,1.0,0.0,1139.0,1.0,7.527793987721444,64.0,,0,64.0,199954.0,0.16445088857453383,0.023365374036028286,199954.0,0.16445088857453383,0.023365374036028286,1.003450793682547,1.0034144259496371,1.4953839383058103,1.4953839383058103,1.5005620684117553,0.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,64.0,0.0,1.0,1.0,0.0,0.0034507936825469857,0.5017253968412735,0.0034507936825469857,0.5017253968412735,0.1886109037651166,0.16250874499246262,0.046892564637867354,0.1886109037651166,0.16250874499246262,0.046892564637867354,1.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260724T223223Z-repeatability-v1__pilot-balanced-v1_--f19771bc7362--u_tenant_id-1__us_tenant_id-10005__lookback_days-30,37.699,2.0,2.0,305.8,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99681689169474,2.0,2.0,400.0,0.0,0.5,1.0,1.0,0.0,2.0,9600.0,0.0,0.5,1.0,1.0,2.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,400.0,193.0,200.0,0.0031831083052600187,2.0,400.0,9600.0,800.0,19200.0,2.0,200.0,2.0,0.005,200.0,0.0625,0.03125,0.03125,0.03125,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.886705197443856,1.2938501708714751,3.886705197443856,0.0,,0.0,5.303304908059076,0.0,0.0,0.0,25.0,1.0,0.0,2.0,,0,2.0,400.0,0.0,0.5,800.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260724T223236Z-repeatability-v1__pilot-balanced-v1_--1525488dceb3--gion_global_user_join__lookback_days-1__limit_k-100,4001.0,18.0,18.0,1608.99,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.9463004248937766,4.0,4.0,600000.0,0.0,0.5,1.0,1.0,0.0,2.0,19126272.0,0.0,0.5,1.0,1.0,128.0,0.0,0.5,1.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,600000.0,11821.722222222223,33333.333333333336,0.05369957510622341,1.0,600000.0,19126272.0,600000.0,19126272.0,1.0,33333.333333333336,18.0,3e-05,33333.333333333336,4.0,2.0,2.0,2.0,32.0,24.032979976442874,0.09351833333333333,3117.277777777778,0.09351833333333333,3076.221436984688,0.0,6.467853993552845,2.6648866767553967,5.111018268193043,0.0,6.467853993552845,6.467853993552845,0.693142180597445,56111.0,1.0,2.0,4920.0,1.0,12.935104972379959,128.0,,0,128.0,600000.0,0.4428513670898322,0.015666666666666666,600000.0,0.4428513670898322,0.015666666666666666,1.0,1.0,2.005333333333333,2.005333333333333,2.005333333333333,0.0,1.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,128.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.4513446576619691,0.4427683137470273,0.03133333333333333,0.4513446576619691,0.4427683137470273,0.03133333333333333,1.0,1.0,3.0,1.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260724T223254Z-repeatability-v1__pilot-balanced-v1_--eeeba4945fcd--event_filter_summary__lookback_days-30__min_value-0,2293.486,1.0,1.0,593.86,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982804342385347,2.0,2.0,400000.0,0.0,0.5,1.0,1.0,0.0,2.0,6400000.0,0.0,0.5,1.0,1.0,64.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,400000.0,386915.0,400000.0,0.017195657614653023,1.0,400000.0,6400000.0,400000.0,6400000.0,1.0,400000.0,1.0,2.5e-06,400000.0,2.0,1.0,1.0,1.0,16.0,3.75296,0.00733,2932.0,0.00733,480.37888,0.0,6.739620817353015,1.6847740392443018,6.739620817353015,0.0,,,0.693142180597445,2932.0,1.0,0.0,,1.0,7.983781068977451,64.0,,0,64.0,400000.0,0.16502121075789014,0.0235,400000.0,0.16502121075789014,0.0235,1.0,1.0,1.504,1.504,1.504,0.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,64.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.18914544668059022,0.16292475330283535,0.047,0.18914544668059022,0.16292475330283535,0.047,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260724T223310Z-repeatability-v1__pilot-balanced-v1_--eeeba4945fcd--event_filter_summary__lookback_days-30__min_value-0,2397.484,1.0,1.0,593.86,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979216128241106,2.0,2.0,400000.0,0.0,0.5,1.0,1.0,0.0,2.0,6400000.0,0.0,0.5,1.0,1.0,64.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,400000.0,386913.0,400000.0,0.02078387175889398,1.0,400000.0,6400000.0,400000.0,6400000.0,1.0,400000.0,1.0,2.5e-06,400000.0,2.0,1.0,1.0,1.0,16.0,3.75296,0.00733,2932.0,0.00733,480.37888,0.0,6.739610484586262,1.6847727476484575,6.739610484586262,0.0,,,0.693142180597445,2932.0,1.0,0.0,,1.0,7.983781068977451,64.0,,0,64.0,400000.0,0.16502121075789014,0.0235,400000.0,0.16502121075789014,0.0235,1.0,1.0,1.504,1.504,1.504,0.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,64.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.18914544668059022,0.16292475330283535,0.047,0.18914544668059022,0.16292475330283535,0.047,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260724T223327Z-repeatability-v1__pilot-balanced-v1_--da46db020e85---default__gac_fdw_event_full_scan_summary__case-001,87.531,1.0,1.0,161.42,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1280.0,0.0,1.0,1.0,1.0,32.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,33.0,1.0,1.0,0.0,200000.0,1.0,1280.0,200000.0,256000000.0,200000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,1.0,0.0,32.0,,0,32.0,32.0,0.0,0.03125,200000.0,0.1367040599250805,0.039,1.0,1.0,1.248,1.0,1.248,0.0,1.0,0.0,64.0,1.0,1.0,0.0,32.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,32.0,32.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.03125,0.1367040599250805,0.1367040599250805,0.039,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0
20260724T223341Z-repeatability-v1__pilot-balanced-v1_--523887f7556f--egion_global_user_join__lookback_days-7__limit_k-25,4113.907,18.0,18.0,1608.99,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.8957032815763701,4.0,4.0,600000.0,0.0,0.5,1.0,1.0,0.0,2.0,19126272.0,0.0,0.5,1.0,1.0,128.0,0.0,0.5,1.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,600000.0,16093.111111111111,33333.333333333336,0.10429671842362989,1.0,600000.0,19126272.0,600000.0,19126272.0,1.0,33333.333333333336,18.0,3e-05,33333.333333333336,4.0,2.0,2.0,2.0,32.0,24.76624906306885,0.09637166666666666,3212.3888888888887,0.09637166666666666,3170.079880072813,0.0,8.41258794602556,3.414432612312063,5.111018268193043,0.0,8.41258794602556,8.41258794602556,0.693142180597445,57823.0,1.0,2.0,4928.0,1.0,12.965159193391955,128.0,,0,128.0,600000.0,0.4428513670898322,0.015666666666666666,600000.0,0.4428513670898322,0.015666666666666666,1.0,1.0,2.005333333333333,2.005333333333333,2.005333333333333,0.0,1.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,128.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.4513446576619691,0.4427683137470273,0.03133333333333333,0.4513446576619691,0.4427683137470273,0.03133333333333333,1.0,1.0,3.0,1.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
