instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_cell_id,logical_question_id,execution_strategy,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order
fdw_top_tenants_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_top_tenants__lookback_days-30__limit_k-100,gac_fdw_top_tenants,"{""limit_k"": 100, ""lookback_days"": 30}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__work_mem_low__analytics_clients/queries/fdw_top_tenants_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_top_tenants__lookback_days-30__limit_k-100.sql,"fdw_remote_scan,topk,final_ordering",clean-run-eu-us-gac-v1,fdw_top_tenants_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low,top_tenants,fdw_raw,pilot-balanced-v1,work_mem_low,eu_us_gac,positive_case,work_mem,"remote_fetch_heavy,gac_finalization_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,11
fdw_tenant_tier_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_tenant_tier_join__lookback_days-7,gac_fdw_tenant_tier_join,"{""lookback_days"": 7}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__work_mem_low__analytics_clients/queries/fdw_tenant_tier_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_tenant_tier_join__lookback_days-7.sql,"fdw_remote_join,reference_join,group_by",clean-run-eu-us-gac-v1,fdw_tenant_tier_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low,tenant_tier_daily_join,fdw_raw,pilot-balanced-v1,work_mem_low,eu_us_gac,positive_case,work_mem,gac_finalization_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,12
fdw_top_tenants_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_top_tenants__lookback_days-14__limit_k-25,gac_fdw_top_tenants,"{""limit_k"": 25, ""lookback_days"": 14}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__work_mem_low__analytics_clients/queries/fdw_top_tenants_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_top_tenants__lookback_days-14__limit_k-25.sql,"fdw_remote_scan,topk,final_ordering",clean-run-eu-us-gac-v1,fdw_top_tenants_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low,top_tenants,fdw_raw,pilot-balanced-v1,work_mem_low,eu_us_gac,positive_case,work_mem,"remote_fetch_heavy,gac_finalization_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,13
fdw_multi_dimension_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_multi_dimension_rollup__lookback_days-1__limit_k-50,gac_fdw_multi_dimension_rollup,"{""limit_k"": 50, ""lookback_days"": 1}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__work_mem_low__analytics_clients/queries/fdw_multi_dimension_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_multi_dimension_rollup__lookback_days-1__limit_k-50.sql,"fdw_remote_join,multi_join,daily_group_by",clean-run-eu-us-gac-v1,fdw_multi_dimension_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low,multi_dimension_rollup,fdw_raw,pilot-balanced-v1,work_mem_low,eu_us_gac,positive_case,work_mem,"join_movement,gac_finalization_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,14
fdw_multi_dimension_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_multi_dimension_rollup__lookback_days-30__limit_k-10,gac_fdw_multi_dimension_rollup,"{""limit_k"": 10, ""lookback_days"": 30}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__work_mem_low__analytics_clients/queries/fdw_multi_dimension_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_multi_dimension_rollup__lookback_days-30__limit_k-10.sql,"fdw_remote_join,multi_join,daily_group_by",clean-run-eu-us-gac-v1,fdw_multi_dimension_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low,multi_dimension_rollup,fdw_raw,pilot-balanced-v1,work_mem_low,eu_us_gac,positive_case,work_mem,"join_movement,gac_finalization_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,15
fdw_tenant_tier_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_tenant_tier_join__lookback_days-1,gac_fdw_tenant_tier_join,"{""lookback_days"": 1}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__work_mem_low__analytics_clients/queries/fdw_tenant_tier_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_tenant_tier_join__lookback_days-1.sql,"fdw_remote_join,reference_join,group_by",clean-run-eu-us-gac-v1,fdw_tenant_tier_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low,tenant_tier_daily_join,fdw_raw,pilot-balanced-v1,work_mem_low,eu_us_gac,positive_case,work_mem,gac_finalization_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,16
fdw_multi_dimension_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_multi_dimension_rollup__lookback_days-3__limit_k-10,gac_fdw_multi_dimension_rollup,"{""limit_k"": 10, ""lookback_days"": 3}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__work_mem_low__analytics_clients/queries/fdw_multi_dimension_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_multi_dimension_rollup__lookback_days-3__limit_k-10.sql,"fdw_remote_join,multi_join,daily_group_by",clean-run-eu-us-gac-v1,fdw_multi_dimension_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low,multi_dimension_rollup,fdw_raw,pilot-balanced-v1,work_mem_low,eu_us_gac,positive_case,work_mem,"join_movement,gac_finalization_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,17
fdw_top_tenants_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_top_tenants__lookback_days-3__limit_k-100,gac_fdw_top_tenants,"{""limit_k"": 100, ""lookback_days"": 3}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__work_mem_low__analytics_clients/queries/fdw_top_tenants_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_top_tenants__lookback_days-3__limit_k-100.sql,"fdw_remote_scan,topk,final_ordering",clean-run-eu-us-gac-v1,fdw_top_tenants_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low,top_tenants,fdw_raw,pilot-balanced-v1,work_mem_low,eu_us_gac,positive_case,work_mem,"remote_fetch_heavy,gac_finalization_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,18
fdw_multi_dimension_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_multi_dimension_rollup__lookback_days-7__limit_k-10,gac_fdw_multi_dimension_rollup,"{""limit_k"": 10, ""lookback_days"": 7}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__work_mem_low__analytics_clients/queries/fdw_multi_dimension_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_multi_dimension_rollup__lookback_days-7__limit_k-10.sql,"fdw_remote_join,multi_join,daily_group_by",clean-run-eu-us-gac-v1,fdw_multi_dimension_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low,multi_dimension_rollup,fdw_raw,pilot-balanced-v1,work_mem_low,eu_us_gac,positive_case,work_mem,"join_movement,gac_finalization_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,19
fdw_top_tenants_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_top_tenants__lookback_days-14__limit_k-50,gac_fdw_top_tenants,"{""limit_k"": 50, ""lookback_days"": 14}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__work_mem_low__analytics_clients/queries/fdw_top_tenants_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_top_tenants__lookback_days-14__limit_k-50.sql,"fdw_remote_scan,topk,final_ordering",clean-run-eu-us-gac-v1,fdw_top_tenants_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low,top_tenants,fdw_raw,pilot-balanced-v1,work_mem_low,eu_us_gac,positive_case,work_mem,"remote_fetch_heavy,gac_finalization_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,20
fdw_top_tenants_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_top_tenants__lookback_days-3__limit_k-50,gac_fdw_top_tenants,"{""limit_k"": 50, ""lookback_days"": 3}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__work_mem_low__analytics_clients/queries/fdw_top_tenants_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_top_tenants__lookback_days-3__limit_k-50.sql,"fdw_remote_scan,topk,final_ordering",clean-run-eu-us-gac-v1,fdw_top_tenants_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low,top_tenants,fdw_raw,pilot-balanced-v1,work_mem_low,eu_us_gac,positive_case,work_mem,"remote_fetch_heavy,gac_finalization_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,21
fdw_multi_dimension_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_multi_dimension_rollup__lookback_days-30__limit_k-25,gac_fdw_multi_dimension_rollup,"{""limit_k"": 25, ""lookback_days"": 30}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__work_mem_low__analytics_clients/queries/fdw_multi_dimension_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_multi_dimension_rollup__lookback_days-30__limit_k-25.sql,"fdw_remote_join,multi_join,daily_group_by",clean-run-eu-us-gac-v1,fdw_multi_dimension_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low,multi_dimension_rollup,fdw_raw,pilot-balanced-v1,work_mem_low,eu_us_gac,positive_case,work_mem,"join_movement,gac_finalization_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,22
fdw_tenant_tier_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_tenant_tier_join__lookback_days-30,gac_fdw_tenant_tier_join,"{""lookback_days"": 30}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__work_mem_low__analytics_clients/queries/fdw_tenant_tier_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_tenant_tier_join__lookback_days-30.sql,"fdw_remote_join,reference_join,group_by",clean-run-eu-us-gac-v1,fdw_tenant_tier_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low,tenant_tier_daily_join,fdw_raw,pilot-balanced-v1,work_mem_low,eu_us_gac,positive_case,work_mem,gac_finalization_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,23
fdw_multi_dimension_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_multi_dimension_rollup__lookback_days-1__limit_k-100,gac_fdw_multi_dimension_rollup,"{""limit_k"": 100, ""lookback_days"": 1}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__work_mem_low__analytics_clients/queries/fdw_multi_dimension_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_multi_dimension_rollup__lookback_days-1__limit_k-100.sql,"fdw_remote_join,multi_join,daily_group_by",clean-run-eu-us-gac-v1,fdw_multi_dimension_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low,multi_dimension_rollup,fdw_raw,pilot-balanced-v1,work_mem_low,eu_us_gac,positive_case,work_mem,"join_movement,gac_finalization_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,24
fdw_multi_dimension_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_multi_dimension_rollup__lookback_days-1__limit_k-25,gac_fdw_multi_dimension_rollup,"{""limit_k"": 25, ""lookback_days"": 1}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__work_mem_low__analytics_clients/queries/fdw_multi_dimension_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_multi_dimension_rollup__lookback_days-1__limit_k-25.sql,"fdw_remote_join,multi_join,daily_group_by",clean-run-eu-us-gac-v1,fdw_multi_dimension_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low,multi_dimension_rollup,fdw_raw,pilot-balanced-v1,work_mem_low,eu_us_gac,positive_case,work_mem,"join_movement,gac_finalization_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,25
fdw_tenant_tier_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_tenant_tier_join__lookback_days-3,gac_fdw_tenant_tier_join,"{""lookback_days"": 3}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__work_mem_low__analytics_clients/queries/fdw_tenant_tier_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_tenant_tier_join__lookback_days-3.sql,"fdw_remote_join,reference_join,group_by",clean-run-eu-us-gac-v1,fdw_tenant_tier_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low,tenant_tier_daily_join,fdw_raw,pilot-balanced-v1,work_mem_low,eu_us_gac,positive_case,work_mem,gac_finalization_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,26
fdw_top_tenants_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_top_tenants__lookback_days-7__limit_k-10,gac_fdw_top_tenants,"{""limit_k"": 10, ""lookback_days"": 7}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__work_mem_low__analytics_clients/queries/fdw_top_tenants_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low__gac_fdw_top_tenants__lookback_days-7__limit_k-10.sql,"fdw_remote_scan,topk,final_ordering",clean-run-eu-us-gac-v1,fdw_top_tenants_work_mem_sensitivity__dataset-pilot-balanced-v1__runtime-work_mem_low,top_tenants,fdw_raw,pilot-balanced-v1,work_mem_low,eu_us_gac,positive_case,work_mem,"remote_fetch_heavy,gac_finalization_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,27
