instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_cell_id,logical_question_id,execution_strategy,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order
asymmetry_mr_multi_dimension_rollup__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_multi_dimension_rollup__lookback_days-7__limit_k-100,gac_fdw_multiregion_multi_dimension_rollup,"{""limit_k"": 100, ""lookback_days"": 7}",master-regimes/generated/corpus/region-asymmetry-companion-v1/groups/clean-run-eu-us-gac-region-asymmetry-v1__pilot-region-imbalanced-v1__default__analytics_clients/queries/asymmetry_mr_multi_dimension_rollup__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_multi_dimension_rollup__lookback_days-7__limit_k-100.sql,"fdw_remote_join,multi_join,fdw_union_all,daily_group_by",clean-run-eu-us-gac-region-asymmetry-v1,asymmetry_mr_multi_dimension_rollup__dataset-pilot-region-imbalanced-v1__runtime-default,multi_dimension_rollup,multiregion_union,pilot-region-imbalanced-v1,default,eu_us_gac,calibration,dataset_region_asymmetry,"join_movement,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_reference_join,supports_colocated_user_join","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260702,false,0,35
asymmetry_mr_multi_dimension_rollup__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_multi_dimension_rollup__lookback_days-7__limit_k-50,gac_fdw_multiregion_multi_dimension_rollup,"{""limit_k"": 50, ""lookback_days"": 7}",master-regimes/generated/corpus/region-asymmetry-companion-v1/groups/clean-run-eu-us-gac-region-asymmetry-v1__pilot-region-imbalanced-v1__default__analytics_clients/queries/asymmetry_mr_multi_dimension_rollup__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_multi_dimension_rollup__lookback_days-7__limit_k-50.sql,"fdw_remote_join,multi_join,fdw_union_all,daily_group_by",clean-run-eu-us-gac-region-asymmetry-v1,asymmetry_mr_multi_dimension_rollup__dataset-pilot-region-imbalanced-v1__runtime-default,multi_dimension_rollup,multiregion_union,pilot-region-imbalanced-v1,default,eu_us_gac,calibration,dataset_region_asymmetry,"join_movement,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_reference_join,supports_colocated_user_join","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260702,false,0,36
asymmetry_mr_event_filter_summary__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_event_filter_summary__lookback_days-30__min_value-500,gac_fdw_multiregion_event_filter_summary,"{""lookback_days"": 30, ""min_value"": 500}",master-regimes/generated/corpus/region-asymmetry-companion-v1/groups/clean-run-eu-us-gac-region-asymmetry-v1__pilot-region-imbalanced-v1__default__analytics_clients/queries/asymmetry_mr_event_filter_summary__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_event_filter_summary__lookback_days-30__min_value-500.sql,"fdw_union_all,selective_filter,remote_pushdown_candidate",clean-run-eu-us-gac-region-asymmetry-v1,asymmetry_mr_event_filter_summary__dataset-pilot-region-imbalanced-v1__runtime-default,event_filter_summary,multiregion_union,pilot-region-imbalanced-v1,default,eu_us_gac,calibration,dataset_region_asymmetry,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260702,false,0,37
asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-20__us_tenant_id-10800__lookback_days-7,gac_fdw_multiregion_tenant_point_rollup,"{""eu_tenant_id"": 20, ""lookback_days"": 7, ""us_tenant_id"": 10800}",master-regimes/generated/corpus/region-asymmetry-companion-v1/groups/clean-run-eu-us-gac-region-asymmetry-v1__pilot-region-imbalanced-v1__default__analytics_clients/queries/asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-20__us_tenant_id-10800__lookback_days-7.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",clean-run-eu-us-gac-region-asymmetry-v1,asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default,tenant_point_rollup,multiregion_union,pilot-region-imbalanced-v1,default,eu_us_gac,negative_control,dataset_region_asymmetry,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_first_observed,deterministic_shuffle,20260702,false,0,38
asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-800__us_tenant_id-10020__lookback_days-7,gac_fdw_multiregion_tenant_point_rollup,"{""eu_tenant_id"": 800, ""lookback_days"": 7, ""us_tenant_id"": 10020}",master-regimes/generated/corpus/region-asymmetry-companion-v1/groups/clean-run-eu-us-gac-region-asymmetry-v1__pilot-region-imbalanced-v1__default__analytics_clients/queries/asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-800__us_tenant_id-10020__lookback_days-7.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",clean-run-eu-us-gac-region-asymmetry-v1,asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default,tenant_point_rollup,multiregion_union,pilot-region-imbalanced-v1,default,eu_us_gac,negative_control,dataset_region_asymmetry,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_first_observed,deterministic_shuffle,20260702,false,0,39
asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-20__us_tenant_id-10800__lookback_days-30,gac_fdw_multiregion_tenant_point_rollup,"{""eu_tenant_id"": 20, ""lookback_days"": 30, ""us_tenant_id"": 10800}",master-regimes/generated/corpus/region-asymmetry-companion-v1/groups/clean-run-eu-us-gac-region-asymmetry-v1__pilot-region-imbalanced-v1__default__analytics_clients/queries/asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-20__us_tenant_id-10800__lookback_days-30.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",clean-run-eu-us-gac-region-asymmetry-v1,asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default,tenant_point_rollup,multiregion_union,pilot-region-imbalanced-v1,default,eu_us_gac,negative_control,dataset_region_asymmetry,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_first_observed,deterministic_shuffle,20260702,false,0,40
asymmetry_mr_multi_dimension_rollup__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_multi_dimension_rollup__lookback_days-30__limit_k-50,gac_fdw_multiregion_multi_dimension_rollup,"{""limit_k"": 50, ""lookback_days"": 30}",master-regimes/generated/corpus/region-asymmetry-companion-v1/groups/clean-run-eu-us-gac-region-asymmetry-v1__pilot-region-imbalanced-v1__default__analytics_clients/queries/asymmetry_mr_multi_dimension_rollup__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_multi_dimension_rollup__lookback_days-30__limit_k-50.sql,"fdw_remote_join,multi_join,fdw_union_all,daily_group_by",clean-run-eu-us-gac-region-asymmetry-v1,asymmetry_mr_multi_dimension_rollup__dataset-pilot-region-imbalanced-v1__runtime-default,multi_dimension_rollup,multiregion_union,pilot-region-imbalanced-v1,default,eu_us_gac,calibration,dataset_region_asymmetry,"join_movement,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_reference_join,supports_colocated_user_join","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260702,false,0,41
asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-800__us_tenant_id-10100__lookback_days-7,gac_fdw_multiregion_tenant_point_rollup,"{""eu_tenant_id"": 800, ""lookback_days"": 7, ""us_tenant_id"": 10100}",master-regimes/generated/corpus/region-asymmetry-companion-v1/groups/clean-run-eu-us-gac-region-asymmetry-v1__pilot-region-imbalanced-v1__default__analytics_clients/queries/asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-800__us_tenant_id-10100__lookback_days-7.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",clean-run-eu-us-gac-region-asymmetry-v1,asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default,tenant_point_rollup,multiregion_union,pilot-region-imbalanced-v1,default,eu_us_gac,negative_control,dataset_region_asymmetry,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_first_observed,deterministic_shuffle,20260702,false,0,42
asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-1__us_tenant_id-10100__lookback_days-30,gac_fdw_multiregion_tenant_point_rollup,"{""eu_tenant_id"": 1, ""lookback_days"": 30, ""us_tenant_id"": 10100}",master-regimes/generated/corpus/region-asymmetry-companion-v1/groups/clean-run-eu-us-gac-region-asymmetry-v1__pilot-region-imbalanced-v1__default__analytics_clients/queries/asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-1__us_tenant_id-10100__lookback_days-30.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",clean-run-eu-us-gac-region-asymmetry-v1,asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default,tenant_point_rollup,multiregion_union,pilot-region-imbalanced-v1,default,eu_us_gac,negative_control,dataset_region_asymmetry,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_first_observed,deterministic_shuffle,20260702,false,0,43
asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-1__us_tenant_id-10005__lookback_days-30,gac_fdw_multiregion_tenant_point_rollup,"{""eu_tenant_id"": 1, ""lookback_days"": 30, ""us_tenant_id"": 10005}",master-regimes/generated/corpus/region-asymmetry-companion-v1/groups/clean-run-eu-us-gac-region-asymmetry-v1__pilot-region-imbalanced-v1__default__analytics_clients/queries/asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-1__us_tenant_id-10005__lookback_days-30.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",clean-run-eu-us-gac-region-asymmetry-v1,asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default,tenant_point_rollup,multiregion_union,pilot-region-imbalanced-v1,default,eu_us_gac,negative_control,dataset_region_asymmetry,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_first_observed,deterministic_shuffle,20260702,false,0,44
asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-800__us_tenant_id-10001__lookback_days-30,gac_fdw_multiregion_tenant_point_rollup,"{""eu_tenant_id"": 800, ""lookback_days"": 30, ""us_tenant_id"": 10001}",master-regimes/generated/corpus/region-asymmetry-companion-v1/groups/clean-run-eu-us-gac-region-asymmetry-v1__pilot-region-imbalanced-v1__default__analytics_clients/queries/asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-800__us_tenant_id-10001__lookback_days-30.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",clean-run-eu-us-gac-region-asymmetry-v1,asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default,tenant_point_rollup,multiregion_union,pilot-region-imbalanced-v1,default,eu_us_gac,negative_control,dataset_region_asymmetry,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_first_observed,deterministic_shuffle,20260702,false,0,45
asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-800__us_tenant_id-10100__lookback_days-30,gac_fdw_multiregion_tenant_point_rollup,"{""eu_tenant_id"": 800, ""lookback_days"": 30, ""us_tenant_id"": 10100}",master-regimes/generated/corpus/region-asymmetry-companion-v1/groups/clean-run-eu-us-gac-region-asymmetry-v1__pilot-region-imbalanced-v1__default__analytics_clients/queries/asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-800__us_tenant_id-10100__lookback_days-30.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",clean-run-eu-us-gac-region-asymmetry-v1,asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default,tenant_point_rollup,multiregion_union,pilot-region-imbalanced-v1,default,eu_us_gac,negative_control,dataset_region_asymmetry,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_first_observed,deterministic_shuffle,20260702,false,0,46
asymmetry_etl_top_tenants_control__dataset-pilot-region-imbalanced-v1__runtime-default__gac_etl_top_tenants__lookback_days-30__limit_k-25,gac_etl_top_tenants,"{""limit_k"": 25, ""lookback_days"": 30}",master-regimes/generated/corpus/region-asymmetry-companion-v1/groups/clean-run-eu-us-gac-region-asymmetry-v1__pilot-region-imbalanced-v1__default__analytics_clients/queries/asymmetry_etl_top_tenants_control__dataset-pilot-region-imbalanced-v1__runtime-default__gac_etl_top_tenants__lookback_days-30__limit_k-25.sql,"local_etl_read,topk,low_remote_pressure",clean-run-eu-us-gac-region-asymmetry-v1,asymmetry_etl_top_tenants_control__dataset-pilot-region-imbalanced-v1__runtime-default,top_tenants,etl_materialized,pilot-region-imbalanced-v1,default,eu_us_gac,negative_control,dataset_region_asymmetry,well_reduced_localized,pilot,"{""fetch_size"":""none"",""wan_latency"":""none"",""work_mem"":""low""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260702,false,0,47
asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-100__us_tenant_id-10100__lookback_days-30,gac_fdw_multiregion_tenant_point_rollup,"{""eu_tenant_id"": 100, ""lookback_days"": 30, ""us_tenant_id"": 10100}",master-regimes/generated/corpus/region-asymmetry-companion-v1/groups/clean-run-eu-us-gac-region-asymmetry-v1__pilot-region-imbalanced-v1__default__analytics_clients/queries/asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-100__us_tenant_id-10100__lookback_days-30.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",clean-run-eu-us-gac-region-asymmetry-v1,asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default,tenant_point_rollup,multiregion_union,pilot-region-imbalanced-v1,default,eu_us_gac,negative_control,dataset_region_asymmetry,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_first_observed,deterministic_shuffle,20260702,false,0,48
asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-5__us_tenant_id-10800__lookback_days-7,gac_fdw_multiregion_tenant_point_rollup,"{""eu_tenant_id"": 5, ""lookback_days"": 7, ""us_tenant_id"": 10800}",master-regimes/generated/corpus/region-asymmetry-companion-v1/groups/clean-run-eu-us-gac-region-asymmetry-v1__pilot-region-imbalanced-v1__default__analytics_clients/queries/asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-5__us_tenant_id-10800__lookback_days-7.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",clean-run-eu-us-gac-region-asymmetry-v1,asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default,tenant_point_rollup,multiregion_union,pilot-region-imbalanced-v1,default,eu_us_gac,negative_control,dataset_region_asymmetry,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_first_observed,deterministic_shuffle,20260702,false,0,49
asymmetry_mr_daily_tenant_rollup__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_daily_tenant_rollup__lookback_days-1__min_value-500__limit_k-50,gac_fdw_multiregion_daily_tenant_rollup,"{""limit_k"": 50, ""lookback_days"": 1, ""min_value"": 500}",master-regimes/generated/corpus/region-asymmetry-companion-v1/groups/clean-run-eu-us-gac-region-asymmetry-v1__pilot-region-imbalanced-v1__default__analytics_clients/queries/asymmetry_mr_daily_tenant_rollup__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_daily_tenant_rollup__lookback_days-1__min_value-500__limit_k-50.sql,"fdw_union_all,remote_aggregate_candidate,coordinator_fanin,daily_group_by",clean-run-eu-us-gac-region-asymmetry-v1,asymmetry_mr_daily_tenant_rollup__dataset-pilot-region-imbalanced-v1__runtime-default,daily_tenant_rollup,multiregion_union,pilot-region-imbalanced-v1,default,eu_us_gac,calibration,dataset_region_asymmetry,"gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260702,false,0,50
asymmetry_mr_top_tenants__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_top_tenants__lookback_days-30__limit_k-50,gac_fdw_multiregion_top_tenants,"{""limit_k"": 50, ""lookback_days"": 30}",master-regimes/generated/corpus/region-asymmetry-companion-v1/groups/clean-run-eu-us-gac-region-asymmetry-v1__pilot-region-imbalanced-v1__default__analytics_clients/queries/asymmetry_mr_top_tenants__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_top_tenants__lookback_days-30__limit_k-50.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",clean-run-eu-us-gac-region-asymmetry-v1,asymmetry_mr_top_tenants__dataset-pilot-region-imbalanced-v1__runtime-default,top_tenants,multiregion_union,pilot-region-imbalanced-v1,default,eu_us_gac,calibration,dataset_region_asymmetry,"remote_fetch_heavy,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260702,false,0,51
asymmetry_mr_user_segment_join__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_user_segment_join__lookback_days-7__limit_k-50,gac_fdw_multiregion_user_segment_join,"{""limit_k"": 50, ""lookback_days"": 7}",master-regimes/generated/corpus/region-asymmetry-companion-v1/groups/clean-run-eu-us-gac-region-asymmetry-v1__pilot-region-imbalanced-v1__default__analytics_clients/queries/asymmetry_mr_user_segment_join__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_user_segment_join__lookback_days-7__limit_k-50.sql,"fdw_remote_join,colocated_join,fdw_union_all,topk",clean-run-eu-us-gac-region-asymmetry-v1,asymmetry_mr_user_segment_join__dataset-pilot-region-imbalanced-v1__runtime-default,user_segment_topk,multiregion_union,pilot-region-imbalanced-v1,default,eu_us_gac,calibration,dataset_region_asymmetry,gac_finalization_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_colocated_user_join","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260702,false,0,52
asymmetry_mr_top_tenants__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_top_tenants__lookback_days-30__limit_k-25,gac_fdw_multiregion_top_tenants,"{""limit_k"": 25, ""lookback_days"": 30}",master-regimes/generated/corpus/region-asymmetry-companion-v1/groups/clean-run-eu-us-gac-region-asymmetry-v1__pilot-region-imbalanced-v1__default__analytics_clients/queries/asymmetry_mr_top_tenants__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_top_tenants__lookback_days-30__limit_k-25.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",clean-run-eu-us-gac-region-asymmetry-v1,asymmetry_mr_top_tenants__dataset-pilot-region-imbalanced-v1__runtime-default,top_tenants,multiregion_union,pilot-region-imbalanced-v1,default,eu_us_gac,calibration,dataset_region_asymmetry,"remote_fetch_heavy,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260702,false,0,53
asymmetry_mr_daily_tenant_rollup__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_daily_tenant_rollup__lookback_days-30__min_value-500__limit_k-50,gac_fdw_multiregion_daily_tenant_rollup,"{""limit_k"": 50, ""lookback_days"": 30, ""min_value"": 500}",master-regimes/generated/corpus/region-asymmetry-companion-v1/groups/clean-run-eu-us-gac-region-asymmetry-v1__pilot-region-imbalanced-v1__default__analytics_clients/queries/asymmetry_mr_daily_tenant_rollup__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_daily_tenant_rollup__lookback_days-30__min_value-500__limit_k-50.sql,"fdw_union_all,remote_aggregate_candidate,coordinator_fanin,daily_group_by",clean-run-eu-us-gac-region-asymmetry-v1,asymmetry_mr_daily_tenant_rollup__dataset-pilot-region-imbalanced-v1__runtime-default,daily_tenant_rollup,multiregion_union,pilot-region-imbalanced-v1,default,eu_us_gac,calibration,dataset_region_asymmetry,"gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260702,false,0,54
