condition_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_cell_id,logical_question_id,execution_strategy,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag
cond-22930995d28b411a802a,single_event_filter_default__dataset-pilot-balanced-v1__runtime-default__q03_event_filter_summary__lookback_days-3__min_value-0,q03_event_filter_summary,"{""lookback_days"":3,""min_value"":0}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__coordinators/queries/single_event_filter_default__dataset-pilot-balanced-v1__runtime-default__q03_event_filter_summary__lookback_days-3__min_value-0.sql,"selective_filter,scan_pressure,aggregate",repeatability-v1,single_event_filter_default__dataset-pilot-balanced-v1__runtime-default,event_filter_summary,single_region_citus,pilot-balanced-v1,default,eu_us_gac,baseline,nan,well_reduced_localized,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,2,11,false
cond-5e469422c082309ca012,single_event_full_scan_default__dataset-pilot-balanced-v1__runtime-default__q09_event_full_scan_summary__case-001,q09_event_full_scan_summary,{},master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__coordinators/queries/single_event_full_scan_default__dataset-pilot-balanced-v1__runtime-default__q09_event_full_scan_summary__case-001.sql,"full_scan,aggregate,scan_pressure",repeatability-v1,single_event_full_scan_default__dataset-pilot-balanced-v1__runtime-default,event_full_scan_summary,single_region_citus,pilot-balanced-v1,default,eu_us_gac,baseline,nan,well_reduced_localized,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,1,12,true
cond-49c0893fa0327bc1ad95,single_user_segment_default__dataset-pilot-balanced-v1__runtime-default__q06_user_segment_join__lookback_days-1__limit_k-10,q06_user_segment_join,"{""limit_k"":10,""lookback_days"":1}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__coordinators/queries/single_user_segment_default__dataset-pilot-balanced-v1__runtime-default__q06_user_segment_join__lookback_days-1__limit_k-10.sql,"colocated_join,high_group_cardinality,topk",repeatability-v1,single_user_segment_default__dataset-pilot-balanced-v1__runtime-default,user_segment_topk,single_region_citus,pilot-balanced-v1,default,eu_us_gac,baseline,nan,well_reduced_localized,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,0,13,true
cond-5e469422c082309ca012,single_event_full_scan_default__dataset-pilot-balanced-v1__runtime-default__q09_event_full_scan_summary__case-001,q09_event_full_scan_summary,{},master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__coordinators/queries/single_event_full_scan_default__dataset-pilot-balanced-v1__runtime-default__q09_event_full_scan_summary__case-001.sql,"full_scan,aggregate,scan_pressure",repeatability-v1,single_event_full_scan_default__dataset-pilot-balanced-v1__runtime-default,event_full_scan_summary,single_region_citus,pilot-balanced-v1,default,eu_us_gac,baseline,nan,well_reduced_localized,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,3,14,true
cond-c7752535b0651ad3a347,single_user_value_default__dataset-pilot-balanced-v1__runtime-default__q02_global_user_topk__lookback_days-30__limit_k-25,q02_global_user_topk,"{""limit_k"":25,""lookback_days"":30}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__coordinators/queries/single_user_value_default__dataset-pilot-balanced-v1__runtime-default__q02_global_user_topk__lookback_days-30__limit_k-25.sql,"high_group_cardinality,final_ordering,topk",repeatability-v1,single_user_value_default__dataset-pilot-balanced-v1__runtime-default,user_value_topk,single_region_citus,pilot-balanced-v1,default,eu_us_gac,baseline,nan,gac_finalization_heavy,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,0,15,true
cond-c7752535b0651ad3a347,single_user_value_default__dataset-pilot-balanced-v1__runtime-default__q02_global_user_topk__lookback_days-30__limit_k-25,q02_global_user_topk,"{""limit_k"":25,""lookback_days"":30}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__coordinators/queries/single_user_value_default__dataset-pilot-balanced-v1__runtime-default__q02_global_user_topk__lookback_days-30__limit_k-25.sql,"high_group_cardinality,final_ordering,topk",repeatability-v1,single_user_value_default__dataset-pilot-balanced-v1__runtime-default,user_value_topk,single_region_citus,pilot-balanced-v1,default,eu_us_gac,baseline,nan,gac_finalization_heavy,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,3,16,true
cond-49c0893fa0327bc1ad95,single_user_segment_default__dataset-pilot-balanced-v1__runtime-default__q06_user_segment_join__lookback_days-1__limit_k-10,q06_user_segment_join,"{""limit_k"":10,""lookback_days"":1}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__coordinators/queries/single_user_segment_default__dataset-pilot-balanced-v1__runtime-default__q06_user_segment_join__lookback_days-1__limit_k-10.sql,"colocated_join,high_group_cardinality,topk",repeatability-v1,single_user_segment_default__dataset-pilot-balanced-v1__runtime-default,user_segment_topk,single_region_citus,pilot-balanced-v1,default,eu_us_gac,baseline,nan,well_reduced_localized,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,1,17,true
cond-c7752535b0651ad3a347,single_user_value_default__dataset-pilot-balanced-v1__runtime-default__q02_global_user_topk__lookback_days-30__limit_k-25,q02_global_user_topk,"{""limit_k"":25,""lookback_days"":30}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__coordinators/queries/single_user_value_default__dataset-pilot-balanced-v1__runtime-default__q02_global_user_topk__lookback_days-30__limit_k-25.sql,"high_group_cardinality,final_ordering,topk",repeatability-v1,single_user_value_default__dataset-pilot-balanced-v1__runtime-default,user_value_topk,single_region_citus,pilot-balanced-v1,default,eu_us_gac,baseline,nan,gac_finalization_heavy,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,1,18,true
cond-49c0893fa0327bc1ad95,single_user_segment_default__dataset-pilot-balanced-v1__runtime-default__q06_user_segment_join__lookback_days-1__limit_k-10,q06_user_segment_join,"{""limit_k"":10,""lookback_days"":1}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__coordinators/queries/single_user_segment_default__dataset-pilot-balanced-v1__runtime-default__q06_user_segment_join__lookback_days-1__limit_k-10.sql,"colocated_join,high_group_cardinality,topk",repeatability-v1,single_user_segment_default__dataset-pilot-balanced-v1__runtime-default,user_segment_topk,single_region_citus,pilot-balanced-v1,default,eu_us_gac,baseline,nan,well_reduced_localized,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,4,19,true
cond-c7752535b0651ad3a347,single_user_value_default__dataset-pilot-balanced-v1__runtime-default__q02_global_user_topk__lookback_days-30__limit_k-25,q02_global_user_topk,"{""limit_k"":25,""lookback_days"":30}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__coordinators/queries/single_user_value_default__dataset-pilot-balanced-v1__runtime-default__q02_global_user_topk__lookback_days-30__limit_k-25.sql,"high_group_cardinality,final_ordering,topk",repeatability-v1,single_user_value_default__dataset-pilot-balanced-v1__runtime-default,user_value_topk,single_region_citus,pilot-balanced-v1,default,eu_us_gac,baseline,nan,gac_finalization_heavy,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,4,20,true
cond-49c0893fa0327bc1ad95,single_user_segment_default__dataset-pilot-balanced-v1__runtime-default__q06_user_segment_join__lookback_days-1__limit_k-10,q06_user_segment_join,"{""limit_k"":10,""lookback_days"":1}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__coordinators/queries/single_user_segment_default__dataset-pilot-balanced-v1__runtime-default__q06_user_segment_join__lookback_days-1__limit_k-10.sql,"colocated_join,high_group_cardinality,topk",repeatability-v1,single_user_segment_default__dataset-pilot-balanced-v1__runtime-default,user_segment_topk,single_region_citus,pilot-balanced-v1,default,eu_us_gac,baseline,nan,well_reduced_localized,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,2,21,true
