dataset_id,runtime_config_id,target_group,corpus_cell_id,instance_id,condition_id,repetition_index,attempt_count,resolved_status,resolved_attempt_number,resolved_query_run_id,group_id,latest_status,latest_attempt_number,latest_query_run_id,needs_rerun,hard_timeout_seconds,timeout_phase,resolved_database_sweep_index_dir,template_id,logical_question_id,execution_strategy,intervention_axis,run_order
n3-large-apac-dominant-wide-global-dim-v1,gac_force_remote_join,analytics_clients,n3_row_sample_colocated__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join,n3_row_sample_colocated__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join__gac_fdw_n3_colocated_joined_event_sample__as_of_unix-1782864000__lookback_days-30__limit_k-100__tenant_modulus-1__user_id_max-2147483647,cond-591aa1de215ed3c4b342,0,1,completed,1,20260802T000201Z-pressure-raw-v1-n3-colocation-holdou--e2c894c9e7a3--mit_k-100__tenant_modulus-1__user_id_max-2147483647,pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients,completed,1,20260802T000201Z-pressure-raw-v1-n3-colocation-holdou--e2c894c9e7a3--mit_k-100__tenant_modulus-1__user_id_max-2147483647,false,1800,,master-regimes-infra/generated/runs/corpus-sweeps/20260801T232531Z-pressure-raw-v1-n3-colocation-holdout-attempt-01/database-sweeps/20260801T232556Z-pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients/_index,gac_fdw_n3_colocated_joined_event_sample,joined_event_sample,multiregion_union,join_strategy,17
n3-large-apac-dominant-wide-global-dim-v1,gac_force_remote_join,analytics_clients,n3_row_sample_colocated__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join,n3_row_sample_colocated__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join__gac_fdw_n3_colocated_joined_event_sample__as_of_unix-1782864000__lookback_days-30__limit_k-100__tenant_modulus-1__user_id_max-2147483647,cond-591aa1de215ed3c4b342,1,1,completed,1,20260801T235217Z-pressure-raw-v1-n3-colocation-holdou--e2c894c9e7a3--mit_k-100__tenant_modulus-1__user_id_max-2147483647,pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients,completed,1,20260801T235217Z-pressure-raw-v1-n3-colocation-holdou--e2c894c9e7a3--mit_k-100__tenant_modulus-1__user_id_max-2147483647,false,1800,,master-regimes-infra/generated/runs/corpus-sweeps/20260801T232531Z-pressure-raw-v1-n3-colocation-holdout-attempt-01/database-sweeps/20260801T232556Z-pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients/_index,gac_fdw_n3_colocated_joined_event_sample,joined_event_sample,multiregion_union,join_strategy,11
n3-large-apac-dominant-wide-global-dim-v1,gac_force_remote_join,analytics_clients,n3_row_sample_colocated__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join,n3_row_sample_colocated__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join__gac_fdw_n3_colocated_joined_event_sample__as_of_unix-1782864000__lookback_days-30__limit_k-100__tenant_modulus-1__user_id_max-2147483647,cond-591aa1de215ed3c4b342,2,1,completed,1,20260801T232915Z-pressure-raw-v1-n3-colocation-holdou--e2c894c9e7a3--mit_k-100__tenant_modulus-1__user_id_max-2147483647,pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients,completed,1,20260801T232915Z-pressure-raw-v1-n3-colocation-holdou--e2c894c9e7a3--mit_k-100__tenant_modulus-1__user_id_max-2147483647,false,1800,,master-regimes-infra/generated/runs/corpus-sweeps/20260801T232531Z-pressure-raw-v1-n3-colocation-holdout-attempt-01/database-sweeps/20260801T232556Z-pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients/_index,gac_fdw_n3_colocated_joined_event_sample,joined_event_sample,multiregion_union,join_strategy,2
n3-large-apac-dominant-wide-global-dim-v1,gac_force_remote_join,analytics_clients,n3_row_sample_repartition__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join,n3_row_sample_repartition__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join__gac_fdw_n3_repartition_joined_event_sample__as_of_unix-1782864000__lookback_days-30__limit_k-100__tenant_modulus-1__user_id_max-2147483647,cond-f981bb4351841d8a4f27,0,1,completed,1,20260801T234404Z-pressure-raw-v1-n3-colocation-holdou--1f8530565929--mit_k-100__tenant_modulus-1__user_id_max-2147483647,pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients,completed,1,20260801T234404Z-pressure-raw-v1-n3-colocation-holdou--1f8530565929--mit_k-100__tenant_modulus-1__user_id_max-2147483647,false,1800,,master-regimes-infra/generated/runs/corpus-sweeps/20260801T232531Z-pressure-raw-v1-n3-colocation-holdout-attempt-01/database-sweeps/20260801T232556Z-pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients/_index,gac_fdw_n3_repartition_joined_event_sample,joined_event_sample,multiregion_union,join_strategy,8
n3-large-apac-dominant-wide-global-dim-v1,gac_force_remote_join,analytics_clients,n3_row_sample_repartition__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join,n3_row_sample_repartition__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join__gac_fdw_n3_repartition_joined_event_sample__as_of_unix-1782864000__lookback_days-30__limit_k-100__tenant_modulus-1__user_id_max-2147483647,cond-f981bb4351841d8a4f27,1,1,completed,1,20260802T000841Z-pressure-raw-v1-n3-colocation-holdou--1f8530565929--mit_k-100__tenant_modulus-1__user_id_max-2147483647,pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients,completed,1,20260802T000841Z-pressure-raw-v1-n3-colocation-holdou--1f8530565929--mit_k-100__tenant_modulus-1__user_id_max-2147483647,false,1800,,master-regimes-infra/generated/runs/corpus-sweeps/20260801T232531Z-pressure-raw-v1-n3-colocation-holdout-attempt-01/database-sweeps/20260801T232556Z-pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients/_index,gac_fdw_n3_repartition_joined_event_sample,joined_event_sample,multiregion_union,join_strategy,21
n3-large-apac-dominant-wide-global-dim-v1,gac_force_remote_join,analytics_clients,n3_row_sample_repartition__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join,n3_row_sample_repartition__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join__gac_fdw_n3_repartition_joined_event_sample__as_of_unix-1782864000__lookback_days-30__limit_k-100__tenant_modulus-1__user_id_max-2147483647,cond-f981bb4351841d8a4f27,2,1,completed,1,20260802T000512Z-pressure-raw-v1-n3-colocation-holdou--1f8530565929--mit_k-100__tenant_modulus-1__user_id_max-2147483647,pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients,completed,1,20260802T000512Z-pressure-raw-v1-n3-colocation-holdou--1f8530565929--mit_k-100__tenant_modulus-1__user_id_max-2147483647,false,1800,,master-regimes-infra/generated/runs/corpus-sweeps/20260801T232531Z-pressure-raw-v1-n3-colocation-holdout-attempt-01/database-sweeps/20260801T232556Z-pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients/_index,gac_fdw_n3_repartition_joined_event_sample,joined_event_sample,multiregion_union,join_strategy,19
n3-large-apac-dominant-wide-global-dim-v1,gac_force_remote_join,analytics_clients,n3_segment_colocated__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join,n3_segment_colocated__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join__gac_fdw_n3_colocated_user_join__as_of_unix-1782864000__lookback_days-30__limit_k-100__tenant_modulus-1__user_id_max-2147483647,cond-a2b3fdda05289e0963eb,0,1,completed,1,20260801T235651Z-pressure-raw-v1-n3-colocation-holdou--9cdfe548ba4b--mit_k-100__tenant_modulus-1__user_id_max-2147483647,pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients,completed,1,20260801T235651Z-pressure-raw-v1-n3-colocation-holdou--9cdfe548ba4b--mit_k-100__tenant_modulus-1__user_id_max-2147483647,false,1800,,master-regimes-infra/generated/runs/corpus-sweeps/20260801T232531Z-pressure-raw-v1-n3-colocation-holdout-attempt-01/database-sweeps/20260801T232556Z-pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients/_index,gac_fdw_n3_colocated_user_join,user_segment_topk,multiregion_union,join_strategy,14
n3-large-apac-dominant-wide-global-dim-v1,gac_force_remote_join,analytics_clients,n3_segment_colocated__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join,n3_segment_colocated__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join__gac_fdw_n3_colocated_user_join__as_of_unix-1782864000__lookback_days-30__limit_k-100__tenant_modulus-1__user_id_max-2147483647,cond-a2b3fdda05289e0963eb,1,1,completed,1,20260802T000053Z-pressure-raw-v1-n3-colocation-holdou--9cdfe548ba4b--mit_k-100__tenant_modulus-1__user_id_max-2147483647,pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients,completed,1,20260802T000053Z-pressure-raw-v1-n3-colocation-holdou--9cdfe548ba4b--mit_k-100__tenant_modulus-1__user_id_max-2147483647,false,1800,,master-regimes-infra/generated/runs/corpus-sweeps/20260801T232531Z-pressure-raw-v1-n3-colocation-holdout-attempt-01/database-sweeps/20260801T232556Z-pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients/_index,gac_fdw_n3_colocated_user_join,user_segment_topk,multiregion_union,join_strategy,16
n3-large-apac-dominant-wide-global-dim-v1,gac_force_remote_join,analytics_clients,n3_segment_colocated__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join,n3_segment_colocated__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join__gac_fdw_n3_colocated_user_join__as_of_unix-1782864000__lookback_days-30__limit_k-100__tenant_modulus-1__user_id_max-2147483647,cond-a2b3fdda05289e0963eb,2,1,completed,1,20260801T232755Z-pressure-raw-v1-n3-colocation-holdou--9cdfe548ba4b--mit_k-100__tenant_modulus-1__user_id_max-2147483647,pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients,completed,1,20260801T232755Z-pressure-raw-v1-n3-colocation-holdou--9cdfe548ba4b--mit_k-100__tenant_modulus-1__user_id_max-2147483647,false,1800,,master-regimes-infra/generated/runs/corpus-sweeps/20260801T232531Z-pressure-raw-v1-n3-colocation-holdout-attempt-01/database-sweeps/20260801T232556Z-pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients/_index,gac_fdw_n3_colocated_user_join,user_segment_topk,multiregion_union,join_strategy,1
n3-large-apac-dominant-wide-global-dim-v1,gac_force_remote_join,analytics_clients,n3_segment_repartition__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join,n3_segment_repartition__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join__gac_fdw_n3_repartition_user_join__as_of_unix-1782864000__lookback_days-30__limit_k-100__tenant_modulus-1__user_id_max-2147483647,cond-e23ca9141867cdf08f93,0,1,completed,1,20260801T233422Z-pressure-raw-v1-n3-colocation-holdou--ef4b5fd257fb--mit_k-100__tenant_modulus-1__user_id_max-2147483647,pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients,completed,1,20260801T233422Z-pressure-raw-v1-n3-colocation-holdou--ef4b5fd257fb--mit_k-100__tenant_modulus-1__user_id_max-2147483647,false,1800,,master-regimes-infra/generated/runs/corpus-sweeps/20260801T232531Z-pressure-raw-v1-n3-colocation-holdout-attempt-01/database-sweeps/20260801T232556Z-pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients/_index,gac_fdw_n3_repartition_user_join,user_segment_topk,multiregion_union,join_strategy,5
n3-large-apac-dominant-wide-global-dim-v1,gac_force_remote_join,analytics_clients,n3_segment_repartition__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join,n3_segment_repartition__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join__gac_fdw_n3_repartition_user_join__as_of_unix-1782864000__lookback_days-30__limit_k-100__tenant_modulus-1__user_id_max-2147483647,cond-e23ca9141867cdf08f93,1,2,completed,2,20260802T021305Z-pressure-raw-v1-n3-colocation-holdou--995c216edf3b--mit_k-100__tenant_modulus-1__user_id_max-2147483647,pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients__evidence-rerun-01,completed,2,20260802T021305Z-pressure-raw-v1-n3-colocation-holdou--995c216edf3b--mit_k-100__tenant_modulus-1__user_id_max-2147483647,false,1800,,master-regimes-infra/generated/runs/corpus-sweeps/20260802T021040Z-pressure-raw-v1-n3-colocation-holdout-attempt-02/database-sweeps/20260802T021108Z-pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients__evidence-rerun-01/_index,gac_fdw_n3_repartition_user_join,user_segment_topk,multiregion_union,join_strategy,15
n3-large-apac-dominant-wide-global-dim-v1,gac_force_remote_join,analytics_clients,n3_segment_repartition__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join,n3_segment_repartition__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join__gac_fdw_n3_repartition_user_join__as_of_unix-1782864000__lookback_days-30__limit_k-100__tenant_modulus-1__user_id_max-2147483647,cond-e23ca9141867cdf08f93,2,1,completed,1,20260801T235326Z-pressure-raw-v1-n3-colocation-holdou--ef4b5fd257fb--mit_k-100__tenant_modulus-1__user_id_max-2147483647,pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients,completed,1,20260801T235326Z-pressure-raw-v1-n3-colocation-holdou--ef4b5fd257fb--mit_k-100__tenant_modulus-1__user_id_max-2147483647,false,1800,,master-regimes-infra/generated/runs/corpus-sweeps/20260801T232531Z-pressure-raw-v1-n3-colocation-holdout-attempt-01/database-sweeps/20260801T232556Z-pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients/_index,gac_fdw_n3_repartition_user_join,user_segment_topk,multiregion_union,join_strategy,12
n3-large-apac-dominant-wide-global-dim-v1,gac_force_remote_join,analytics_clients,n3_summary_colocated__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join,n3_summary_colocated__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join__gac_fdw_n3_colocated_join_summary__as_of_unix-1782864000__lookback_days-30__limit_k-100__tenant_modulus-1__user_id_max-2147483647,cond-8131fda14e7d09a08916,0,1,completed,1,20260802T000338Z-pressure-raw-v1-n3-colocation-holdou--448cfa0ce2be--mit_k-100__tenant_modulus-1__user_id_max-2147483647,pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients,completed,1,20260802T000338Z-pressure-raw-v1-n3-colocation-holdou--448cfa0ce2be--mit_k-100__tenant_modulus-1__user_id_max-2147483647,false,1800,,master-regimes-infra/generated/runs/corpus-sweeps/20260801T232531Z-pressure-raw-v1-n3-colocation-holdout-attempt-01/database-sweeps/20260801T232556Z-pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients/_index,gac_fdw_n3_colocated_join_summary,joined_event_summary,multiregion_union,join_strategy,18
n3-large-apac-dominant-wide-global-dim-v1,gac_force_remote_join,analytics_clients,n3_summary_colocated__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join,n3_summary_colocated__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join__gac_fdw_n3_colocated_join_summary__as_of_unix-1782864000__lookback_days-30__limit_k-100__tenant_modulus-1__user_id_max-2147483647,cond-8131fda14e7d09a08916,1,1,completed,1,20260802T001104Z-pressure-raw-v1-n3-colocation-holdou--448cfa0ce2be--mit_k-100__tenant_modulus-1__user_id_max-2147483647,pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients,completed,1,20260802T001104Z-pressure-raw-v1-n3-colocation-holdou--448cfa0ce2be--mit_k-100__tenant_modulus-1__user_id_max-2147483647,false,1800,,master-regimes-infra/generated/runs/corpus-sweeps/20260801T232531Z-pressure-raw-v1-n3-colocation-holdout-attempt-01/database-sweeps/20260801T232556Z-pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients/_index,gac_fdw_n3_colocated_join_summary,joined_event_summary,multiregion_union,join_strategy,22
n3-large-apac-dominant-wide-global-dim-v1,gac_force_remote_join,analytics_clients,n3_summary_colocated__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join,n3_summary_colocated__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join__gac_fdw_n3_colocated_join_summary__as_of_unix-1782864000__lookback_days-30__limit_k-100__tenant_modulus-1__user_id_max-2147483647,cond-8131fda14e7d09a08916,2,1,completed,1,20260801T235543Z-pressure-raw-v1-n3-colocation-holdou--448cfa0ce2be--mit_k-100__tenant_modulus-1__user_id_max-2147483647,pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients,completed,1,20260801T235543Z-pressure-raw-v1-n3-colocation-holdou--448cfa0ce2be--mit_k-100__tenant_modulus-1__user_id_max-2147483647,false,1800,,master-regimes-infra/generated/runs/corpus-sweeps/20260801T232531Z-pressure-raw-v1-n3-colocation-holdout-attempt-01/database-sweeps/20260801T232556Z-pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients/_index,gac_fdw_n3_colocated_join_summary,joined_event_summary,multiregion_union,join_strategy,13
n3-large-apac-dominant-wide-global-dim-v1,gac_force_remote_join,analytics_clients,n3_summary_repartition__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join,n3_summary_repartition__dataset-n3-large-apac-dominant-wide-global-dim-v1__runtime-gac_force_remote_join__gac_fdw_n3_repartition_join_summary__as_of_unix-1782864000__lookback_days-30__limit_k-100__tenant_modulus-1__user_id_max-2147483647,cond-990c6ca8aaae6b9b617b,0,1,completed,1,20260802T001210Z-pressure-raw-v1-n3-colocation-holdou--ff54e308ba53--mit_k-100__tenant_modulus-1__user_id_max-2147483647,pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients,completed,1,20260802T001210Z-pressure-raw-v1-n3-colocation-holdou--ff54e308ba53--mit_k-100__tenant_modulus-1__user_id_max-2147483647,false,1800,,master-regimes-infra/generated/runs/corpus-sweeps/20260801T232531Z-pressure-raw-v1-n3-colocation-holdout-attempt-01/database-sweeps/20260801T232556Z-pressure-raw-v1-n3-colocation-holdout__n3-large-apac-dominant-wide-global-dim-v1__gac_force_remote_join__analytics_clients/_index,gac_fdw_n3_repartition_join_summary,joined_event_summary,multiregion_union,join_strategy,23
