condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag,dataset_size_class,planned_query_passes,progress_dataset_weight,progress_runtime_multiplier,planned_work_units,progress_cost_class,progress_weight_basis
cond-4b8e2954cdec338b95fe,cond-4b8e2954cdec338b95fe::r0,pair-d74bd4ff84e49b1871931cea,pair-d74bd4ff84e49b1871931cea::r0,remote_wide_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed__gac_fdw_multiregion_event_raw_wide_sample__as_of_unix-1782864000__lookback_days-7__min_value-0__limit_k-10000__payload_repeat-8__payload_width-256,gac_fdw_multiregion_event_raw_wide_sample,"{""as_of_unix"": 1782864000, ""limit_k"": 10000, ""lookback_days"": 7, ""min_value"": 0, ""payload_repeat"": 8, ""payload_width"": 256}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__pilot-balanced-v1__pressure_remote_raw_stressed__analytics_clients/queries/remote_wide_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_str--98f59fc22665f5970023.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,wide_payload_expression",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,remote_wide_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed,event_raw_wide_sample,multiregion_union,,,,pilot-balanced-v1,pressure_remote_raw_stressed,eu_us_gac,positive_case,remote_path,remote_path,stressed,stressed,remote_main__raw_wide,,,,,,,,,,mitigate_remote_path_bundle,execution_time_seconds,pressure_isolated,remote_fetch_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""none""}","supports_region_partitioning,supports_large_scan,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,1,false,medium,2,3.0,2.0,12.0,heavy,dataset=medium:3;runtime=pressure_remote_raw_stressed:2;passes=2
cond-6d2fff8a7baeac0facbb,cond-6d2fff8a7baeac0facbb::r0,pair-da05b25faa929db50d995501,pair-da05b25faa929db50d995501::r0,remote_wide_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed__gac_fdw_multiregion_event_raw_wide_sample__as_of_unix-1782864000__lookback_days-30__min_value-0__limit_k-10000__payload_repeat-8__payload_width-256,gac_fdw_multiregion_event_raw_wide_sample,"{""as_of_unix"": 1782864000, ""limit_k"": 10000, ""lookback_days"": 30, ""min_value"": 0, ""payload_repeat"": 8, ""payload_width"": 256}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__pilot-balanced-v1__pressure_remote_raw_stressed__analytics_clients/queries/remote_wide_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_str--eb73863fd82f75bd54c8.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,wide_payload_expression",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,remote_wide_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed,event_raw_wide_sample,multiregion_union,,,,pilot-balanced-v1,pressure_remote_raw_stressed,eu_us_gac,positive_case,remote_path,remote_path,stressed,stressed,remote_main__raw_wide,,,,,,,,,,mitigate_remote_path_bundle,execution_time_seconds,pressure_isolated,remote_fetch_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""none""}","supports_region_partitioning,supports_large_scan,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,2,false,medium,2,3.0,2.0,12.0,heavy,dataset=medium:3;runtime=pressure_remote_raw_stressed:2;passes=2
cond-728dd5e28fdd8d5e4622,cond-728dd5e28fdd8d5e4622::r2,pair-b2f3ce40131ea550019b9011,pair-b2f3ce40131ea550019b9011::r2,remote_join_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed__gac_fdw_multiregion_global_user_join__as_of_unix-1782864000__lookback_days-30__limit_k-100,gac_fdw_multiregion_global_user_join,"{""as_of_unix"": 1782864000, ""limit_k"": 100, ""lookback_days"": 30}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__pilot-balanced-v1__pressure_remote_raw_stressed__analytics_clients/queries/remote_join_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed__gac_fdw_multiregion_global_user_join__as_of_unix-1782864000__lookback_days-30__limit_k-100.sql,"fdw_remote_join,non_colocated_join,fdw_union_all,topk",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,remote_join_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed,global_user_topk,multiregion_union,,,,pilot-balanced-v1,pressure_remote_raw_stressed,eu_us_gac,positive_case,remote_path,remote_path,stressed,stressed,remote_main__join,,,,,,,,,,mitigate_remote_path_bundle,execution_time_seconds,pressure_isolated,"join_movement,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_global_user_dimension,supports_non_colocated_join","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,3,false,medium,1,3.0,2.0,6.0,medium,dataset=medium:3;runtime=pressure_remote_raw_stressed:2;passes=1
cond-23984422148c9af87cc9,cond-23984422148c9af87cc9::r1,pair-2b5aa4b8f1538ca3f12bf40b,pair-2b5aa4b8f1538ca3f12bf40b::r1,remote_etl_control_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed__gac_etl_top_tenants__as_of_unix-1782864000__lookback_days-3__limit_k-50,gac_etl_top_tenants,"{""as_of_unix"": 1782864000, ""limit_k"": 50, ""lookback_days"": 3}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__pilot-balanced-v1__pressure_remote_raw_stressed__analytics_clients/queries/remote_etl_control_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed__gac_etl_top_tenants__as_of_unix-1782864000__lookback_days-3__limit_k-50.sql,"local_etl_read,topk,low_remote_pressure",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,remote_etl_control_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed,top_tenants,etl_materialized,,,,pilot-balanced-v1,pressure_remote_raw_stressed,eu_us_gac,negative_control,remote_path,remote_path,stressed,stressed,remote_main__etl_local_control,,,,,,,,,,mitigate_remote_path_bundle,execution_time_seconds,pressure_negative_control,well_reduced_localized,pilot,"{""fetch_size"":""none"",""wan_latency"":""none"",""work_mem"":""low""}",,,,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,4,false,medium,1,3.0,2.0,6.0,medium,dataset=medium:3;runtime=pressure_remote_raw_stressed:2;passes=1
cond-bed6718d93dad0d2548a,cond-bed6718d93dad0d2548a::r2,pair-7d08d3df8077891c7519db94,pair-7d08d3df8077891c7519db94::r2,remote_etl_control_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed__gac_etl_top_tenants__as_of_unix-1782864000__lookback_days-60__limit_k-50,gac_etl_top_tenants,"{""as_of_unix"": 1782864000, ""limit_k"": 50, ""lookback_days"": 60}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__pilot-balanced-v1__pressure_remote_raw_stressed__analytics_clients/queries/remote_etl_control_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed__gac_etl_top_tenants__as_of_unix-1782864000__lookback_days-60__limit_k-50.sql,"local_etl_read,topk,low_remote_pressure",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,remote_etl_control_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed,top_tenants,etl_materialized,,,,pilot-balanced-v1,pressure_remote_raw_stressed,eu_us_gac,negative_control,remote_path,remote_path,stressed,stressed,remote_main__etl_local_control,,,,,,,,,,mitigate_remote_path_bundle,execution_time_seconds,pressure_negative_control,well_reduced_localized,pilot,"{""fetch_size"":""none"",""wan_latency"":""none"",""work_mem"":""low""}",,,,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,5,false,medium,1,3.0,2.0,6.0,medium,dataset=medium:3;runtime=pressure_remote_raw_stressed:2;passes=1
cond-6d2fff8a7baeac0facbb,cond-6d2fff8a7baeac0facbb::r1,pair-da05b25faa929db50d995501,pair-da05b25faa929db50d995501::r1,remote_wide_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed__gac_fdw_multiregion_event_raw_wide_sample__as_of_unix-1782864000__lookback_days-30__min_value-0__limit_k-10000__payload_repeat-8__payload_width-256,gac_fdw_multiregion_event_raw_wide_sample,"{""as_of_unix"": 1782864000, ""limit_k"": 10000, ""lookback_days"": 30, ""min_value"": 0, ""payload_repeat"": 8, ""payload_width"": 256}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__pilot-balanced-v1__pressure_remote_raw_stressed__analytics_clients/queries/remote_wide_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_str--eb73863fd82f75bd54c8.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,wide_payload_expression",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,remote_wide_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed,event_raw_wide_sample,multiregion_union,,,,pilot-balanced-v1,pressure_remote_raw_stressed,eu_us_gac,positive_case,remote_path,remote_path,stressed,stressed,remote_main__raw_wide,,,,,,,,,,mitigate_remote_path_bundle,execution_time_seconds,pressure_isolated,remote_fetch_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""none""}","supports_region_partitioning,supports_large_scan,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,6,false,medium,1,3.0,2.0,6.0,medium,dataset=medium:3;runtime=pressure_remote_raw_stressed:2;passes=1
cond-d77c139b572d242157fb,cond-d77c139b572d242157fb::r0,pair-67257a57ca7bbbf5ef5b5236,pair-67257a57ca7bbbf5ef5b5236::r0,remote_join_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed__gac_fdw_multiregion_global_user_join__as_of_unix-1782864000__lookback_days-7__limit_k-100,gac_fdw_multiregion_global_user_join,"{""as_of_unix"": 1782864000, ""limit_k"": 100, ""lookback_days"": 7}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__pilot-balanced-v1__pressure_remote_raw_stressed__analytics_clients/queries/remote_join_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed__gac_fdw_multiregion_global_user_join__as_of_unix-1782864000__lookback_days-7__limit_k-100.sql,"fdw_remote_join,non_colocated_join,fdw_union_all,topk",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,remote_join_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed,global_user_topk,multiregion_union,,,,pilot-balanced-v1,pressure_remote_raw_stressed,eu_us_gac,positive_case,remote_path,remote_path,stressed,stressed,remote_main__join,,,,,,,,,,mitigate_remote_path_bundle,execution_time_seconds,pressure_isolated,"join_movement,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_global_user_dimension,supports_non_colocated_join","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,7,false,medium,2,3.0,2.0,12.0,heavy,dataset=medium:3;runtime=pressure_remote_raw_stressed:2;passes=2
cond-24d14e884740e07cae5e,cond-24d14e884740e07cae5e::r1,pair-5ad6a515f131ea40646afc36,pair-5ad6a515f131ea40646afc36::r1,remote_etl_control_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed__gac_etl_top_tenants__as_of_unix-1782864000__lookback_days-14__limit_k-50,gac_etl_top_tenants,"{""as_of_unix"": 1782864000, ""limit_k"": 50, ""lookback_days"": 14}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__pilot-balanced-v1__pressure_remote_raw_stressed__analytics_clients/queries/remote_etl_control_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed__gac_etl_top_tenants__as_of_unix-1782864000__lookback_days-14__limit_k-50.sql,"local_etl_read,topk,low_remote_pressure",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,remote_etl_control_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed,top_tenants,etl_materialized,,,,pilot-balanced-v1,pressure_remote_raw_stressed,eu_us_gac,negative_control,remote_path,remote_path,stressed,stressed,remote_main__etl_local_control,,,,,,,,,,mitigate_remote_path_bundle,execution_time_seconds,pressure_negative_control,well_reduced_localized,pilot,"{""fetch_size"":""none"",""wan_latency"":""none"",""work_mem"":""low""}",,,,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,8,false,medium,1,3.0,2.0,6.0,medium,dataset=medium:3;runtime=pressure_remote_raw_stressed:2;passes=1
cond-23984422148c9af87cc9,cond-23984422148c9af87cc9::r0,pair-2b5aa4b8f1538ca3f12bf40b,pair-2b5aa4b8f1538ca3f12bf40b::r0,remote_etl_control_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed__gac_etl_top_tenants__as_of_unix-1782864000__lookback_days-3__limit_k-50,gac_etl_top_tenants,"{""as_of_unix"": 1782864000, ""limit_k"": 50, ""lookback_days"": 3}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__pilot-balanced-v1__pressure_remote_raw_stressed__analytics_clients/queries/remote_etl_control_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed__gac_etl_top_tenants__as_of_unix-1782864000__lookback_days-3__limit_k-50.sql,"local_etl_read,topk,low_remote_pressure",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,remote_etl_control_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed,top_tenants,etl_materialized,,,,pilot-balanced-v1,pressure_remote_raw_stressed,eu_us_gac,negative_control,remote_path,remote_path,stressed,stressed,remote_main__etl_local_control,,,,,,,,,,mitigate_remote_path_bundle,execution_time_seconds,pressure_negative_control,well_reduced_localized,pilot,"{""fetch_size"":""none"",""wan_latency"":""none"",""work_mem"":""low""}",,,,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,9,false,medium,2,3.0,2.0,12.0,heavy,dataset=medium:3;runtime=pressure_remote_raw_stressed:2;passes=2
cond-4b8e2954cdec338b95fe,cond-4b8e2954cdec338b95fe::r1,pair-d74bd4ff84e49b1871931cea,pair-d74bd4ff84e49b1871931cea::r1,remote_wide_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed__gac_fdw_multiregion_event_raw_wide_sample__as_of_unix-1782864000__lookback_days-7__min_value-0__limit_k-10000__payload_repeat-8__payload_width-256,gac_fdw_multiregion_event_raw_wide_sample,"{""as_of_unix"": 1782864000, ""limit_k"": 10000, ""lookback_days"": 7, ""min_value"": 0, ""payload_repeat"": 8, ""payload_width"": 256}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__pilot-balanced-v1__pressure_remote_raw_stressed__analytics_clients/queries/remote_wide_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_str--98f59fc22665f5970023.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,wide_payload_expression",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,remote_wide_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed,event_raw_wide_sample,multiregion_union,,,,pilot-balanced-v1,pressure_remote_raw_stressed,eu_us_gac,positive_case,remote_path,remote_path,stressed,stressed,remote_main__raw_wide,,,,,,,,,,mitigate_remote_path_bundle,execution_time_seconds,pressure_isolated,remote_fetch_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""none""}","supports_region_partitioning,supports_large_scan,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,10,false,medium,1,3.0,2.0,6.0,medium,dataset=medium:3;runtime=pressure_remote_raw_stressed:2;passes=1
cond-7ca4944bfa34bbcab99d,cond-7ca4944bfa34bbcab99d::r1,pair-4ad40154797754cc94eaa2b0,pair-4ad40154797754cc94eaa2b0::r1,remote_rollup_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed__gac_fdw_multiregion_raw_region_rollup__as_of_unix-1782864000__lookback_days-7,gac_fdw_multiregion_raw_region_rollup,"{""as_of_unix"": 1782864000, ""lookback_days"": 7}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__pilot-balanced-v1__pressure_remote_raw_stressed__analytics_clients/queries/remote_rollup_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed__gac_fdw_multiregion_raw_region_rollup__as_of_unix-1782864000__lookback_days-7.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,gac_global_group_by,non_distribution_filter",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,remote_rollup_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed,event_full_scan_summary,multiregion_union,,,,pilot-balanced-v1,pressure_remote_raw_stressed,eu_us_gac,positive_case,remote_path,remote_path,stressed,stressed,remote_main__raw_region_rollup,,,,,,,,,,mitigate_remote_path_bundle,execution_time_seconds,pressure_isolated,"remote_fetch_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,11,false,medium,1,3.0,2.0,6.0,medium,dataset=medium:3;runtime=pressure_remote_raw_stressed:2;passes=1
cond-a7750eba1ccd440f0ba1,cond-a7750eba1ccd440f0ba1::r0,pair-a99495e0059126a8096fc0e9,pair-a99495e0059126a8096fc0e9::r0,remote_filter_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-100,gac_fdw_multiregion_event_filter_summary,"{""as_of_unix"": 1782864000, ""lookback_days"": 30, ""min_value"": 100}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__pilot-balanced-v1__pressure_remote_raw_stressed__analytics_clients/queries/remote_filter_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-100.sql,"fdw_union_all,selective_filter,remote_pushdown_candidate",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,remote_filter_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed,event_filter_summary,multiregion_union,,,,pilot-balanced-v1,pressure_remote_raw_stressed,eu_us_gac,calibration,remote_path,remote_path,stressed,stressed,remote_main__selective_filter,,,,,,,,,,mitigate_remote_path_bundle,execution_time_seconds,pressure_isolated,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,12,false,medium,2,3.0,2.0,12.0,heavy,dataset=medium:3;runtime=pressure_remote_raw_stressed:2;passes=2
cond-23984422148c9af87cc9,cond-23984422148c9af87cc9::r2,pair-2b5aa4b8f1538ca3f12bf40b,pair-2b5aa4b8f1538ca3f12bf40b::r2,remote_etl_control_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed__gac_etl_top_tenants__as_of_unix-1782864000__lookback_days-3__limit_k-50,gac_etl_top_tenants,"{""as_of_unix"": 1782864000, ""limit_k"": 50, ""lookback_days"": 3}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__pilot-balanced-v1__pressure_remote_raw_stressed__analytics_clients/queries/remote_etl_control_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed__gac_etl_top_tenants__as_of_unix-1782864000__lookback_days-3__limit_k-50.sql,"local_etl_read,topk,low_remote_pressure",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,remote_etl_control_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed,top_tenants,etl_materialized,,,,pilot-balanced-v1,pressure_remote_raw_stressed,eu_us_gac,negative_control,remote_path,remote_path,stressed,stressed,remote_main__etl_local_control,,,,,,,,,,mitigate_remote_path_bundle,execution_time_seconds,pressure_negative_control,well_reduced_localized,pilot,"{""fetch_size"":""none"",""wan_latency"":""none"",""work_mem"":""low""}",,,,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,13,false,medium,1,3.0,2.0,6.0,medium,dataset=medium:3;runtime=pressure_remote_raw_stressed:2;passes=1
cond-728dd5e28fdd8d5e4622,cond-728dd5e28fdd8d5e4622::r0,pair-b2f3ce40131ea550019b9011,pair-b2f3ce40131ea550019b9011::r0,remote_join_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed__gac_fdw_multiregion_global_user_join__as_of_unix-1782864000__lookback_days-30__limit_k-100,gac_fdw_multiregion_global_user_join,"{""as_of_unix"": 1782864000, ""limit_k"": 100, ""lookback_days"": 30}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__pilot-balanced-v1__pressure_remote_raw_stressed__analytics_clients/queries/remote_join_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed__gac_fdw_multiregion_global_user_join__as_of_unix-1782864000__lookback_days-30__limit_k-100.sql,"fdw_remote_join,non_colocated_join,fdw_union_all,topk",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,remote_join_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed,global_user_topk,multiregion_union,,,,pilot-balanced-v1,pressure_remote_raw_stressed,eu_us_gac,positive_case,remote_path,remote_path,stressed,stressed,remote_main__join,,,,,,,,,,mitigate_remote_path_bundle,execution_time_seconds,pressure_isolated,"join_movement,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_global_user_dimension,supports_non_colocated_join","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,14,false,medium,2,3.0,2.0,12.0,heavy,dataset=medium:3;runtime=pressure_remote_raw_stressed:2;passes=2
cond-4b8e2954cdec338b95fe,cond-4b8e2954cdec338b95fe::r2,pair-d74bd4ff84e49b1871931cea,pair-d74bd4ff84e49b1871931cea::r2,remote_wide_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed__gac_fdw_multiregion_event_raw_wide_sample__as_of_unix-1782864000__lookback_days-7__min_value-0__limit_k-10000__payload_repeat-8__payload_width-256,gac_fdw_multiregion_event_raw_wide_sample,"{""as_of_unix"": 1782864000, ""limit_k"": 10000, ""lookback_days"": 7, ""min_value"": 0, ""payload_repeat"": 8, ""payload_width"": 256}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__pilot-balanced-v1__pressure_remote_raw_stressed__analytics_clients/queries/remote_wide_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_str--98f59fc22665f5970023.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,wide_payload_expression",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,remote_wide_stressed__dataset-pilot-balanced-v1__runtime-pressure_remote_raw_stressed,event_raw_wide_sample,multiregion_union,,,,pilot-balanced-v1,pressure_remote_raw_stressed,eu_us_gac,positive_case,remote_path,remote_path,stressed,stressed,remote_main__raw_wide,,,,,,,,,,mitigate_remote_path_bundle,execution_time_seconds,pressure_isolated,remote_fetch_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""none""}","supports_region_partitioning,supports_large_scan,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,15,false,medium,1,3.0,2.0,6.0,medium,dataset=medium:3;runtime=pressure_remote_raw_stressed:2;passes=1
